finding	file_path	record_id	ingredient	value	unit	detail
TRACE_SALT_AS_STOCK	bacterial/1_2_r2a_75_asw.yaml	CultureMech:008341	H3BO3	26	G_PER_L	26 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
WATER_AS_VOLUME	bacterial/1_2_tryptic_soy_broth_anaerobic.yaml	CultureMech:009314	Distilled water	1000	G_PER_L	1000 G_PER_L water — reads as a preparation volume, not a concentration
TRACE_SALT_AS_STOCK	bacterial/1a_medium.yaml	CultureMech:008437	FeSO4·7H2O	2	G_PER_L	2 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
WATER_AS_VOLUME	bacterial/2_5_nacl_gypfk_agar_broth.yaml	CultureMech:008125	Distilled water	1001.0	G_PER_L	1001 G_PER_L water — reads as a preparation volume, not a concentration
TRACE_SALT_AS_STOCK	bacterial/2_5_nacl_gypfk_agar_broth.yaml	CultureMech:008125	FeSO4·7H2O	2	G_PER_L	2 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/2_5_nacl_gypfk_agar_broth.yaml	CultureMech:008125	MnSO4·4H2O	2	G_PER_L	2 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/2_glucose_yeast_extract_peptone_agar.yaml	CultureMech:009517	FeSO4・7H2O	50	G_PER_L	50 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
INDICATOR_UNIT_SLIP	bacterial/2asw.yaml	CultureMech:000415	Thiamine HCl	0.1	G_PER_L	0.1 G_PER_L indicator/vitamin — normally mg/L; likely a 1000x unit slip
TRACE_SALT_AS_STOCK	bacterial/3_8m_characterization_medium_no_1.yaml	CultureMech:002472	FeSO4 x 7 H2O	5	G_PER_L	5 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
INDICATOR_UNIT_SLIP	bacterial/3n_bbm_v.yaml	CultureMech:000321	Thiamine hydrochloride	1.2	G_PER_L	1.2 G_PER_L indicator/vitamin — normally mg/L; likely a 1000x unit slip
INDICATOR_UNIT_SLIP	bacterial/3n_bbm_v.yaml	CultureMech:000321	Cyanocobalamine	1	G_PER_L	1 G_PER_L indicator/vitamin — normally mg/L; likely a 1000x unit slip
INDICATOR_UNIT_SLIP	bacterial/3n_bbm_v_recipe_for_customer_orders.yaml	CultureMech:000322	Thiamine hydrochloride	1.2	G_PER_L	1.2 G_PER_L indicator/vitamin — normally mg/L; likely a 1000x unit slip
INDICATOR_UNIT_SLIP	bacterial/3n_bbm_v_recipe_for_customer_orders.yaml	CultureMech:000322	Cyanocobalamine	1	G_PER_L	1 G_PER_L indicator/vitamin — normally mg/L; likely a 1000x unit slip
TRACE_SALT_AS_STOCK	bacterial/573c_medium.yaml	CultureMech:002235	FeCl3 x 6 H2O	1	G_PER_L	1 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/7way_8_7_medium.yaml	CultureMech:003179	FeCl3 x 6 H2O	1.35	G_PER_L	1.35 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/8kg_4_medium.yaml	CultureMech:003180	FeCl3 x 6 H2O	1.35	G_PER_L	1.35 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/9k_medium.yaml	CultureMech:003277	FeSO4 x 7 H2O	49.9501	G_PER_L	49.9501 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/CCAP_C18_BG11₀.yaml	CultureMech:000325	H3BO3	2.86	G_PER_L	2.86 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/CCAP_C18_BG11₀.yaml	CultureMech:000325	MnCl2 x 4 H2O	1.81	G_PER_L	1.81 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/DSMZ_1014_THIOALKALIVIBRIO_HALOPHILUS_MEDIUM.yaml	CultureMech:000243	FeSO4 x 7 H2O	2.2	G_PER_L	2.2 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
INDICATOR_UNIT_SLIP	bacterial/DSMZ_1170_METHYLONATRUM_MEDIUM.yaml	CultureMech:000612	Vitamin B12	0.1	G_PER_L	0.1 G_PER_L indicator/vitamin — normally mg/L; likely a 1000x unit slip
TRACE_SALT_AS_STOCK	bacterial/DSMZ_1419_HYPHOMICROBIUM_MEDIUM.yaml	CultureMech:000880	FeSO4 x 7 H2O	1.599	G_PER_L	1.599 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/DSMZ_1419_HYPHOMICROBIUM_MEDIUM.yaml	CultureMech:000880	ZnSO4 x 7 H2O	1.095	G_PER_L	1.095 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
INDICATOR_UNIT_SLIP	bacterial/DSMZ_1593_Cyanobacteria_Medium_BG11.yaml	CultureMech:001070	Vitamin B12	1	G_PER_L	1 G_PER_L indicator/vitamin — normally mg/L; likely a 1000x unit slip
TRACE_SALT_AS_STOCK	bacterial/DSMZ_1593_Cyanobacteria_Medium_BG11.yaml	CultureMech:001070	H3BO3	2.9	G_PER_L	2.9 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/DSMZ_1593_Cyanobacteria_Medium_BG11.yaml	CultureMech:001070	MnCl2 x 4 H2O	1.81	G_PER_L	1.81 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/DSMZ_1593_Cyanobacteria_Medium_BG11.yaml	CultureMech:001070	CuSO4 x 5 H2O	10	G_PER_L	10 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
WATER_AS_VOLUME	bacterial/DSMZ_1753_SEAWATER_MEDIUM.yaml	CultureMech:001226	Sea water	1000	G_PER_L	1000 G_PER_L water — reads as a preparation volume, not a concentration
INDICATOR_UNIT_SLIP	bacterial/DSMZ_46_PFENNIG_S_MEDIUM_I_WITH_SALT.yaml	CultureMech:001599	Vitamin B12	0.1	G_PER_L	0.1 G_PER_L indicator/vitamin — normally mg/L; likely a 1000x unit slip
TRACE_SALT_AS_STOCK	bacterial/DSMZ_470_PSEUDOMONAS_HALOPHILA_MEDIUM.yaml	CultureMech:000265	FeCl2 x 4 H2O	1.5	G_PER_L	1.5 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
WATER_AS_VOLUME	bacterial/DSMZ_572_GYE_-_MEDIUM.yaml	CultureMech:001700	Tap water	1000	G_PER_L	1000 G_PER_L water — reads as a preparation volume, not a concentration
TRACE_SALT_AS_STOCK	bacterial/DSMZ_590_DICHOTOMICROBIUM_THERMOHALOPHILUM_MEDIUM.yaml	CultureMech:000274	ZnSO4 x 7 H2O	1.095	G_PER_L	1.095 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/DSMZ_628_MMB_MEDIUM.yaml	CultureMech:001759	ZnSO4 x 7 H2O	1.095	G_PER_L	1.095 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
WATER_AS_VOLUME	bacterial/DSMZ_668_FLEXIBACTER_MEDIUM.yaml	CultureMech:001809	Sea water	1000	G_PER_L	1000 G_PER_L water — reads as a preparation volume, not a concentration
TRACE_SALT_AS_STOCK	bacterial/DSMZ_798_TINDALLIA_MEDIUM.yaml	CultureMech:001942	FeCl2 x 4 H2O	1.5	G_PER_L	1.5 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
INDICATOR_UNIT_SLIP	bacterial/DSMZ_962a_THERMOVENABULUM_MEDIUM.yaml	CultureMech:002143	Pyridoxine hydrochloride	0.1	G_PER_L	0.1 G_PER_L indicator/vitamin — normally mg/L; likely a 1000x unit slip
TRACE_SALT_AS_STOCK	bacterial/DSMZ_969_SULFOBACILLUS_MEDIUM.yaml	CultureMech:002151	FeSO4 x 7 H2O	14	G_PER_L	14 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/JCM_J1013_ACETIVIBRIO_MEDIUM.yaml	CultureMech:002198	FeCl2 x 4 H2O	1.5	G_PER_L	1.5 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/JCM_J1024_THERMUS_162_MEDIUM.yaml	CultureMech:002208	MnSO4 x n H2O	2.2	G_PER_L	2.2 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/JCM_J1080_HALODESULFURIARCHAEUM_MEDIUM.yaml	CultureMech:002260	FeSO4 x 7 H2O	2	G_PER_L	2 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/JCM_J1085_ANAEROBACTER_MEDIUM.yaml	CultureMech:002265	FeCl2 x 4 H2O	1.5	G_PER_L	1.5 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/JCM_J1104_HYPNOCYCLICUS_MEDIUM.yaml	CultureMech:002282	FeCl2 x 4 H2O	1.5	G_PER_L	1.5 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
INDICATOR_UNIT_SLIP	bacterial/JCM_J1104_HYPNOCYCLICUS_MEDIUM.yaml	CultureMech:002282	Nicotinic acid	0.1	G_PER_L	0.1 G_PER_L indicator/vitamin — normally mg/L; likely a 1000x unit slip
INDICATOR_UNIT_SLIP	bacterial/JCM_J1104_HYPNOCYCLICUS_MEDIUM.yaml	CultureMech:002282	Pyridoxine hydrochloride	0.25	G_PER_L	0.25 G_PER_L indicator/vitamin — normally mg/L; likely a 1000x unit slip
TRACE_SALT_AS_STOCK	bacterial/JCM_J1192_GEOTHERMOBACTER_MEDIUM.yaml	CultureMech:002359	FeCl2 x 4 H2O	1.5	G_PER_L	1.5 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
INDICATOR_UNIT_SLIP	bacterial/JCM_J1203_TREPONEMA_SACCHAROPHILUM_MEDIUM.yaml	CultureMech:002372	Resazurin	1	G_PER_L	1 G_PER_L indicator/vitamin — normally mg/L; likely a 1000x unit slip
TRACE_SALT_AS_STOCK	bacterial/JCM_J1204_SPOROMUSA_ACIDOVORANS_MEDIUM.yaml	CultureMech:002373	FeSO4 x 7 H2O	2	G_PER_L	2 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/JCM_J1204_SPOROMUSA_ACIDOVORANS_MEDIUM.yaml	CultureMech:002373	FeCl2 x 4 H2O	1.5	G_PER_L	1.5 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/JCM_J1237_TREPONEMA_THERMOPHILUM_MEDIUM.yaml	CultureMech:000291	FeCl2 x 4 H2O	1.5	G_PER_L	1.5 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
INDICATOR_UNIT_SLIP	bacterial/JCM_J1303_UREAPLASMA_MEDIUM.yaml	CultureMech:002467	Phenol red	200	G_PER_L	200 G_PER_L indicator/vitamin — normally mg/L; likely a 1000x unit slip
TRACE_SALT_AS_STOCK	bacterial/JCM_J1353_GBS_SALTS_MEDIUM_FOR_FERVIDIBACTER.yaml	CultureMech:015836	FeSO4·7H2O	1.1	G_PER_L	1.1 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/JCM_J1353_GBS_SALTS_MEDIUM_FOR_FERVIDIBACTER.yaml	CultureMech:015836	Na2WO4·2H2O	1.65	G_PER_L	1.65 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/JCM_J1357_Marinagarivorans_sp_GE09_medium.yaml	CultureMech:015838	MnCl2·4H2O	1.81	G_PER_L	1.81 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/JCM_J1419_HALOTHIOBACILLUS_LS2_MEDIUM.yaml	CultureMech:015859	H3BO3	2.86	G_PER_L	2.86 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/JCM_J1419_HALOTHIOBACILLUS_LS2_MEDIUM.yaml	CultureMech:015859	MnCl2·4H2O	1.86	G_PER_L	1.86 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/JCM_J1435_LIMNOCHORDIA_LN_MEDIUM.yaml	CultureMech:015867	FeCl2·4H2O	1.0	G_PER_L	1 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/JCM_J16_LACTOBACILLUS_MEDIUM_II.yaml	CultureMech:002529	MnSO4 x n H2O	2.4	G_PER_L	2.4 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/JCM_J192_PYS_MEDIUM.yaml	CultureMech:002554	FeCl2 x 4 H2O	1.5	G_PER_L	1.5 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/JCM_J270_GNYS_MEDIUM.yaml	CultureMech:002628	FeCl2 x 4 H2O	1.5	G_PER_L	1.5 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/JCM_J275_MODIFIED_CM_YE_MEDIUM_B.yaml	CultureMech:002632	FeSO4 x 7 H2O	49.8	G_PER_L	49.8 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/JCM_J276_CASTENHOLZ_MEDIUM.yaml	CultureMech:002633	FeCl3 x 6 H2O	10	G_PER_L	10 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/JCM_J303_PE_MEDIUM.yaml	CultureMech:002661	FeSO4 x H2O	1.09901	G_PER_L	1.09901 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
INDICATOR_UNIT_SLIP	bacterial/JCM_J303_PE_MEDIUM.yaml	CultureMech:002661	Nicotinic acid	1	G_PER_L	1 G_PER_L indicator/vitamin — normally mg/L; likely a 1000x unit slip
INDICATOR_UNIT_SLIP	bacterial/JCM_J303_PE_MEDIUM.yaml	CultureMech:002661	Thiamine HCl	1	G_PER_L	1 G_PER_L indicator/vitamin — normally mg/L; likely a 1000x unit slip
INDICATOR_UNIT_SLIP	bacterial/JCM_J303_PE_MEDIUM.yaml	CultureMech:002661	p-Aminobenzoic acid	0.5	G_PER_L	0.5 G_PER_L indicator/vitamin — normally mg/L; likely a 1000x unit slip
INDICATOR_UNIT_SLIP	bacterial/JCM_J303_PE_MEDIUM.yaml	CultureMech:002661	Pyridoxine hydrochloride	0.5	G_PER_L	0.5 G_PER_L indicator/vitamin — normally mg/L; likely a 1000x unit slip
INDICATOR_UNIT_SLIP	bacterial/JCM_J303_PE_MEDIUM.yaml	CultureMech:002661	Folic acid	0.5	G_PER_L	0.5 G_PER_L indicator/vitamin — normally mg/L; likely a 1000x unit slip
TRACE_SALT_AS_STOCK	bacterial/JCM_J303_PE_MEDIUM.yaml	CultureMech:002661	MnSO4 x n H2O	11.16	G_PER_L	11.16 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/JCM_J303_PE_MEDIUM.yaml	CultureMech:002661	ZnSO4 x 7 H2O	2.88	G_PER_L	2.88 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/JCM_J303_PE_MEDIUM.yaml	CultureMech:002661	CuSO4 x 5 H2O	2.52	G_PER_L	2.52 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/JCM_J303_PE_MEDIUM.yaml	CultureMech:002661	Na2MoO4 x 2 H2O	2.42	G_PER_L	2.42 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/JCM_J303_PE_MEDIUM.yaml	CultureMech:002661	H3BO3	3.1	G_PER_L	3.1 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/JCM_J330_SPOROTOMACULUM_MEDIUM.yaml	CultureMech:002689	FeCl3 x 6 H2O	1.35	G_PER_L	1.35 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/JCM_J370_TEPIDANAEROBACTER_MEDIUM.yaml	CultureMech:002729	FeCl3 x 6 H2O	1.35	G_PER_L	1.35 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/JCM_J381_TRICHOCOCCUS_MEDIUM.yaml	CultureMech:002738	Na2WO4 x 2 H2O	1	G_PER_L	1 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/JCM_J383_DESULFOBACTERIUM_MEDIUM.yaml	CultureMech:002740	Na2SeO3	3	G_PER_L	3 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/JCM_J383_DESULFOBACTERIUM_MEDIUM.yaml	CultureMech:002740	FeCl2 x 4 H2O	1.5	G_PER_L	1.5 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/JCM_J433_PSEUDOMONAS_HALOPHILA_MEDIUM.yaml	CultureMech:000297	FeCl2 x 4 H2O	1.5	G_PER_L	1.5 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/JCM_J434_ANAEROLINEA_MEDIUM.yaml	CultureMech:002785	FeCl3 x 6 H2O	1.35	G_PER_L	1.35 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
WATER_AS_VOLUME	bacterial/JCM_J436_VY_2_AGAR.yaml	CultureMech:002787	Sea water	1000	G_PER_L	1000 G_PER_L water — reads as a preparation volume, not a concentration
TRACE_SALT_AS_STOCK	bacterial/JCM_J470_VULCANIBACILLUS_MEDIUM.yaml	CultureMech:002819	FeSO4 x 7 H2O	1.0978474	G_PER_L	1.09785 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/JCM_J470_VULCANIBACILLUS_MEDIUM.yaml	CultureMech:002819	MnSO4 x n H2O	5	G_PER_L	5 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/JCM_J470_VULCANIBACILLUS_MEDIUM.yaml	CultureMech:002819	CoCl2 x 6 H2O	1.8	G_PER_L	1.8 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/JCM_J470_VULCANIBACILLUS_MEDIUM.yaml	CultureMech:002819	ZnSO4 x 7 H2O	1.8	G_PER_L	1.8 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/JCM_J471_DESULFONAUTICUS_MEDIUM.yaml	CultureMech:002820	Na2SeO3	3	G_PER_L	3 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/JCM_J471_DESULFONAUTICUS_MEDIUM.yaml	CultureMech:002820	FeCl2 x 4 H2O	1.5	G_PER_L	1.5 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/JCM_J496_MODIFIED_BIEBL_AND_PFENNIG_S_MEDIUM.yaml	CultureMech:002847	FeSO4 x 7 H2O	1.1	G_PER_L	1.1 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
INDICATOR_UNIT_SLIP	bacterial/JCM_J515_RHODOVULUM_VISAKHUM_MEDIUM.yaml	CultureMech:002866	Vitamin B12	1	G_PER_L	1 G_PER_L indicator/vitamin — normally mg/L; likely a 1000x unit slip
TRACE_SALT_AS_STOCK	bacterial/JCM_J515_RHODOVULUM_VISAKHUM_MEDIUM.yaml	CultureMech:002866	FeCl2 x 4 H2O	1.5	G_PER_L	1.5 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/JCM_J531_BACILLUS_FILIFORMIS_MEDIUM.yaml	CultureMech:002880	FeSO4 x H2O	50	G_PER_L	50 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/JCM_J59_CM_YE_MEDIUM.yaml	CultureMech:002947	FeSO4 x 7 H2O	49.8	G_PER_L	49.8 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/JCM_J601_ANCALOMICROBIUM_MEDIUM.yaml	CultureMech:002949	ZnSO4 x 7 H2O	1.095	G_PER_L	1.095 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/JCM_J618_CYS_MEDIUM.yaml	CultureMech:002965	Na2MoO4 x 2 H2O	100	G_PER_L	100 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/JCM_J618_CYS_MEDIUM.yaml	CultureMech:002965	MnCl2 x 4 H2O	100	G_PER_L	100 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/JCM_J618_CYS_MEDIUM.yaml	CultureMech:002965	ZnSO4 x 7 H2O	100	G_PER_L	100 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/JCM_J618_CYS_MEDIUM.yaml	CultureMech:002965	CuSO4 x 5 H2O	100	G_PER_L	100 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/JCM_J618_CYS_MEDIUM.yaml	CultureMech:002965	CoCl2 x 6 H2O	100	G_PER_L	100 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/JCM_J618_CYS_MEDIUM.yaml	CultureMech:002965	NiCl2 x 6 H2O	100	G_PER_L	100 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
TRACE_SALT_AS_STOCK	bacterial/JCM_J631_MMB_MEDIUM.yaml	CultureMech:002978	ZnSO4 x 7 H2O	1.095	G_PER_L	1.095 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
INDICATOR_UNIT_SLIP	bacterial/JCM_J672_FLEXIBACTER_CANADENSIS_MEDIUM.yaml	CultureMech:003017	Vitamin B12	1	G_PER_L	1 G_PER_L indicator/vitamin — normally mg/L; likely a 1000x unit slip
TRACE_SALT_AS_STOCK	bacterial/JCM_J672_FLEXIBACTER_CANADENSIS_MEDIUM.yaml	CultureMech:003017	FeCl2 x 4 H2O	1.5	G_PER_L	1.5 G_PER_L trace-element salt — stock-solution magnitude, final medium is normally mg/L or below
