file_path	record_id	name	undefined_components	n_undefined	undefined_g_per_l	verdict
bacterial/for_dsm_2373.yaml	CultureMech:004135	for_dsm_2373	Yeast extract; Trypticase peptone	2	3.94866	CURATOR: SEMI_DEFINED?
bacterial/for_dsm_2831.yaml	CultureMech:004136	for_dsm_2831	Yeast extract; Trypticase peptone	2	3.94866	CURATOR: SEMI_DEFINED?
bacterial/for_dsm_4184.yaml	CultureMech:005168	for_dsm_4184	Trypticase peptone; Yeast extract	2	0.69307	CURATOR: SEMI_DEFINED?
bacterial/for_dsm_4185.yaml	CultureMech:005169	for_dsm_4185	Trypticase peptone; Yeast extract	2	0.69307	CURATOR: SEMI_DEFINED?
bacterial/for_dsm_4254.yaml	CultureMech:004139	for_dsm_4254	Yeast extract; Trypticase peptone	2	3.94866	CURATOR: SEMI_DEFINED?
bacterial/for_strain_dsm_1498_dsm_15558_and_dsm_22353.yaml	CultureMech:004134	for_strain_dsm_1498_dsm_15558_and_dsm_22353	Yeast extract; Trypticase peptone	2	3.94866	CURATOR: SEMI_DEFINED?
bacterial/ignavibacteria_medium.yaml	CultureMech:000835	ignavibacteria_medium	Yeast extract	1	2	CURATOR: SEMI_DEFINED?
bacterial/lentimonas_medium.yaml	CultureMech:001187	lentimonas_medium	Yeast extract	1	0.01	CURATOR: SEMI_DEFINED?
bacterial/medium_141_modified_for_dsm_11571.yaml	CultureMech:004122	medium_141_modified_for_dsm_11571	Yeast extract; Trypticase peptone	2	3.94866	CURATOR: SEMI_DEFINED?
bacterial/medium_141_modified_for_dsm_11916.yaml	CultureMech:004123	medium_141_modified_for_dsm_11916	Yeast extract; Trypticase peptone	2	3.94866	CURATOR: SEMI_DEFINED?
bacterial/medium_141_modified_for_dsm_1224.yaml	CultureMech:004125	medium_141_modified_for_dsm_1224	Yeast extract; Trypticase peptone	2	3.94866	CURATOR: SEMI_DEFINED?
bacterial/medium_141_modified_for_dsm_13459.yaml	CultureMech:004126	medium_141_modified_for_dsm_13459	Yeast extract; Trypticase peptone	2	3.94866	CURATOR: SEMI_DEFINED?
bacterial/medium_141_modified_for_dsm_14266.yaml	CultureMech:004127	medium_141_modified_for_dsm_14266	Yeast extract; Trypticase peptone	2	3.94866	CURATOR: SEMI_DEFINED?
bacterial/medium_141_modified_for_dsm_3599.yaml	CultureMech:004130	medium_141_modified_for_dsm_3599	Yeast extract; Trypticase peptone	2	3.94866	CURATOR: SEMI_DEFINED?
bacterial/medium_141_modified_for_dsm_3821.yaml	CultureMech:004131	medium_141_modified_for_dsm_3821	Yeast extract; Trypticase peptone	2	3.94866	CURATOR: SEMI_DEFINED?
bacterial/medium_141_modified_for_dsm_4138.yaml	CultureMech:004133	medium_141_modified_for_dsm_4138	Yeast extract; Trypticase peptone	2	3.94866	CURATOR: SEMI_DEFINED?
bacterial/medium_141_modified_for_dsm_7268.yaml	CultureMech:004137	medium_141_modified_for_dsm_7268	Yeast extract; Trypticase peptone	2	3.94866	CURATOR: SEMI_DEFINED?
bacterial/medium_141_modified_for_dsm_7466.yaml	CultureMech:004138	medium_141_modified_for_dsm_7466	Yeast extract; Trypticase peptone	2	3.94866	CURATOR: SEMI_DEFINED?
bacterial/petrotoga_medium.yaml	CultureMech:001856	petrotoga_medium	Yeast extract	1	0.197433	CURATOR: SEMI_DEFINED?
bacterial/thermochromatium_allochromatium_medium.yaml	CultureMech:000935	thermochromatium_allochromatium_medium	Yeast extract	1	0.1	CURATOR: SEMI_DEFINED?
specialized/definedmedia_adamslab_glucose_yeastextract.yaml	CultureMech:015510	DefinedMedia AdamsLab Glucose YeastExtract	Yeast Extract	1	1	CURATOR: SEMI_DEFINED?
specialized/mccas_h2_complete.yaml	CultureMech:015576	McCas H2 complete	CASamino acids	1	2	CURATOR: SEMI_DEFINED?
specialized/mccas_h2_fe_free.yaml	CultureMech:015577	McCas H2 Fe Free	CASamino acids	1	2	CURATOR: SEMI_DEFINED?
specialized/mmx_casamino.yaml	CultureMech:015601	MMX casamino	casamino acids	1	1.5	CURATOR: SEMI_DEFINED?
specialized/rch2_defined_glucose_ye.yaml	CultureMech:015709	RCH2 defined glucose YE	Yeast Extract	1	0.1	CURATOR: SEMI_DEFINED?
specialized/rch2_defined_glucose_ye_10mmnitrate.yaml	CultureMech:015710	RCH2 defined glucose YE 10mMNitrate	Yeast Extract	1	0.1	CURATOR: SEMI_DEFINED?
specialized/rch2_defined_nocarbon_ye.yaml	CultureMech:015721	RCH2 defined noCarbon YE	Yeast Extract	1	0.01	CURATOR: SEMI_DEFINED?
specialized/rch2_defined_ye.yaml	CultureMech:015726	RCH2 defined YE	Yeast Extract	1	0.1	CURATOR: SEMI_DEFINED?
specialized/rch2_defined_ye_10mm_nitrate.yaml	CultureMech:015727	RCH2 defined YE 10mM Nitrate	Yeast Extract	1	0.1	CURATOR: SEMI_DEFINED?
specialized/xantho_mme_glucose_casamino.yaml	CultureMech:015787	Xantho MME glucose casamino	casamino acids	1	1.5	CURATOR: SEMI_DEFINED?
