file_path	record_id	name	kind	source	looks_like_a_solution	name_cites_medium	cited_medium_in_local_dump
bacterial/artificial_seawater_medium_1231.yaml	CultureMech:004786	Artificial seawater (medium 1231)	no ingredients and no solutions	KOMODO ModelSEED		1231	yes
bacterial/artificial_seawater_medium_1326.yaml	CultureMech:004787	Artificial seawater (medium 1326)	no ingredients and no solutions	KOMODO ModelSEED		1326	yes
bacterial/artificial_tap_water_medium_1167.yaml	CultureMech:004789	Artificial tap water (medium 1167)	no ingredients and no solutions	KOMODO ModelSEED		1167	yes
bacterial/bacto_middelbrook_7h11_agar_medium_911.yaml	CultureMech:004790	Bacto Middelbrook 7H11 agar (medium 911)	no ingredients and no solutions	KOMODO ModelSEED		911	yes
bacterial/bacto_middelbrook_oadc_enrichment_medium_911.yaml	CultureMech:004791	Bacto Middelbrook OADC enrichment (medium 911)	no ingredients and no solutions	KOMODO ModelSEED		911	yes
bacterial/basal_salts_solution_medium_791.yaml	CultureMech:004792	Basal salts solution (medium 791)	no ingredients and no solutions	KOMODO ModelSEED	yes	791	yes
bacterial/bbl_actinomyces_broth_medium_1029.yaml	CultureMech:004983	BBL Actinomyces broth (medium 1029)	no ingredients and no solutions	KOMODO ModelSEED		1029	yes
bacterial/blood_agar_base_from_difco_0045.yaml	CultureMech:006515	Blood Agar Base from Difco 0045	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/blood_agar_no_2_oxoid.yaml	CultureMech:006086	blood agar No 2 (Oxoid)	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/bordet_gengou_agar_base.yaml	CultureMech:005645	Bordet-Gengou-Agar-Base	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/brucella_broth_becton_dickinson.yaml	CultureMech:005646	Brucella Broth (Becton Dickinson)	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/casman_agar_base.yaml	CultureMech:005647	Casman-Agar-Base	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/chelated_iron_solution_medium_737.yaml	CultureMech:004268	Chelated iron solution (medium 737)	no ingredients and no solutions	KOMODO ModelSEED		737	yes
bacterial/chelated_iron_solution_medium_748.yaml	CultureMech:004793	Chelated Iron solution (medium 748)	no ingredients and no solutions	KOMODO ModelSEED		748	yes
bacterial/clostridium_estertheticum_medium.yaml	CultureMech:006182	CLOSTRIDIUM ESTERTHETICUM medium	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/clostridium_longisporum_medium.yaml	CultureMech:006392	CLOSTRIDIUM LONGISPORUM medium	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/clostridium_neopropionicum_medium.yaml	CultureMech:005884	CLOSTRIDIUM NEOPROPIONICUM medium	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/cmrl_1066_medium_10x_concentrated_gibco.yaml	CultureMech:005648	CMRL-1066 medium (10x concentrated; GIBCO)	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/co_factors_solution_medium_843.yaml	CultureMech:006083	Co-factors solution (medium 843)	no ingredients and no solutions	KOMODO ModelSEED		843	yes
bacterial/columbia_agar_base.yaml	CultureMech:005649	Columbia agar base	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/corn_meal_agar_oxoid_cm103.yaml	CultureMech:005651	Corn meal Agar (Oxoid CM103)	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/czapek_dox_agar_merck.yaml	CultureMech:005643	Czapek Dox agar (Merck)	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/desulfobacterium_anilini_medium.yaml	CultureMech:005590	DESULFOBACTERIUM ANILINI MEDIUM	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/desulfococcus_medium.yaml	CultureMech:004258	DESULFOCOCCUS MEDIUM	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/desulfococcus_niacini_medium.yaml	CultureMech:004752	DESULFOCOCCUS NIACINI MEDIUM	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/desulfomicrobium_whb_medium.yaml	CultureMech:006367	DESULFOMICROBIUM WHB MEDIUM	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/desulfotomaculum_geothermicum_medium.yaml	CultureMech:005226	DESULFOTOMACULUM GEOTHERMICUM MEDIUM	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/desulfotomaculum_sp_medium_ii.yaml	CultureMech:006282	DESULFOTOMACULUM SP. MEDIUM II	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/desulfovibrio_aespoeensis_medium.yaml	CultureMech:006364	DESULFOVIBRIO AESPOEENSIS MEDIUM	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/desulfovibrio_alcoholovorans_medium.yaml	CultureMech:005613	DESULFOVIBRIO ALCOHOLOVORANS medium	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/desulfovibrio_alcoholovorans_medium_replace_desulfovibrio_medium_with_desulfobulbus_medium.yaml	CultureMech:005612	DESULFOVIBRIO ALCOHOLOVORANS medium_replace_DESULFOVIBRIO medium_with_DESULFOBULBUS MEDIUM	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/desulfovibrio_baarsii_medium.yaml	CultureMech:004368	DESULFOVIBRIO BAARSII MEDIUM	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/desulfovibrio_carbinolicus_medium.yaml	CultureMech:005160	DESULFOVIBRIO CARBINOLICUS medium	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/desulfovibrio_giganteus_medium.yaml	CultureMech:005196	DESULFOVIBRIO GIGANTEUS MEDIUM	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/desulfovibrio_inopinatus_medium.yaml	CultureMech:006511	DESULFOVIBRIO INOPINATUS MEDIUM	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/desulfovibrio_inopinatus_medium_replace_na_pyruvate_with_1_2_4_trihydroxybenzene.yaml	CultureMech:006510	DESULFOVIBRIO INOPINATUS MEDIUM_replace_Na-pyruvate_with_1,2,4-trihydroxybenzene	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/desulfovibrio_sapovorans_medium.yaml	CultureMech:004260	DESULFOVIBRIO SAPOVORANS MEDIUM	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/desulfovibrio_shv_medium.yaml	CultureMech:006368	DESULFOVIBRIO SHV MEDIUM	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/desulfovibrio_sp_medium.yaml	CultureMech:004276	DESULFOVIBRIO SP. MEDIUM	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/dmj_synthetic_seawater_medium_997.yaml	CultureMech:004270	DMJ synthetic seawater (medium 997)	no ingredients and no solutions	KOMODO ModelSEED		997	yes
bacterial/dsm_4156_b_and_dsm_4156.yaml	CultureMech:005229	DSM 4156 B and DSM 4156	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/fatty_acid_mixture_medium_119.yaml	CultureMech:004794	Fatty acid mixture (medium 119)	no ingredients and no solutions	KOMODO ModelSEED		119	yes
bacterial/fatty_acid_mixture_medium_328.yaml	CultureMech:004795	Fatty acid mixture (medium 328)	no ingredients and no solutions	KOMODO ModelSEED		328	yes
bacterial/fatty_acid_mixture_medium_436.yaml	CultureMech:004796	Fatty acid mixture (medium 436)	no ingredients and no solutions	KOMODO ModelSEED		436	yes
bacterial/ferric_quinate_solution_medium_380.yaml	CultureMech:004272	Ferric Quinate Solution (medium 380)	no ingredients and no solutions	KOMODO ModelSEED		380	yes
bacterial/for_dsm_2805.yaml	CultureMech:004855	For DSM 2805	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/for_dsm_3246.yaml	CultureMech:005056	For DSM 3246	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/for_dsm_3247.yaml	CultureMech:005055	For DSM 3247	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/for_s_buswellii_dsm_2612m.yaml	CultureMech:006276	For S. buswellii DSM 2612M	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/for_s_wolinii_dsm_2805m.yaml	CultureMech:006277	For S. wolinii DSM 2805M	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/glutarate_medium.yaml	CultureMech:006014	GLUTARATE medium	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/h3p_vitamin_solution_medium_428.yaml	CultureMech:004397	H3P-vitamin solution (medium 428)	no ingredients and no solutions	KOMODO ModelSEED	yes	428	yes
bacterial/haemin_solution_medium_104.yaml	CultureMech:004798	Haemin solution (medium 104)	no ingredients and no solutions	KOMODO ModelSEED		104	yes
bacterial/hanks_balanced_salt_solution_bss_medium_1078.yaml	CultureMech:004800	Hank's balanced salt solution (BSS, medium 1078)	no ingredients and no solutions	KOMODO ModelSEED	yes	1078	yes
bacterial/heavy_metal_solution_medium_867.yaml	CultureMech:004273	Heavy metal solution (medium 867)	no ingredients and no solutions	KOMODO ModelSEED		867	yes
bacterial/ilyobacter_tartaricus_medium.yaml	CultureMech:004761	ILYOBACTER TARTARICUS MEDIUM	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/inorganic_salt_solution_medium_754.yaml	CultureMech:004801	Inorganic salt solution (medium 754)	no ingredients and no solutions	KOMODO ModelSEED	yes	754	yes
bacterial/isovitalex.yaml	CultureMech:005642	Isovitalex	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/lip_solution_medium_391.yaml	CultureMech:004802	LIP-solution (medium 391)	no ingredients and no solutions	KOMODO ModelSEED		391	yes
bacterial/mab1_medium.yaml	CultureMech:006272	mAB1-MEDIUM	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/marine_medium_synthetic_seawater_mix_medium_611.yaml	CultureMech:004803	Marine-Medium/Synthetic seawater-mix (medium 611)	no ingredients and no solutions	KOMODO ModelSEED		611	yes
bacterial/marine_trace_elements_medium_511.yaml	CultureMech:004274	Marine trace elements (medium 511)	no ingredients and no solutions	KOMODO ModelSEED		511	yes
bacterial/medium_131_modified_for_dsm_6216.yaml	CultureMech:004066	MEDIUM 131 MODIFIED FOR DSM 6216	no ingredients and no solutions	KOMODO ModelSEED		131	
bacterial/medium_777_modified_for_dsm_14980.yaml	CultureMech:006434	MEDIUM 777 MODIFIED FOR DSM 14980	no ingredients and no solutions	KOMODO ModelSEED		777	
bacterial/medium_820_modified_for_dsm_16960.yaml	CultureMech:006546	MEDIUM 820 MODIFIED FOR DSM 16960	no ingredients and no solutions	KOMODO ModelSEED		820	
bacterial/medium_md1_medium_9.yaml	CultureMech:004986	medium MD1 (medium 9)	no ingredients and no solutions	KOMODO ModelSEED		9	yes
bacterial/metals_44_medium_590.yaml	CultureMech:004393	Metals 44 (medium 590)	no ingredients and no solutions	KOMODO ModelSEED		590	yes
bacterial/micronutrient_solution_sl8_medium_1128.yaml	CultureMech:004804	Micronutrient solution SL8 (medium 1128)	no ingredients and no solutions	KOMODO ModelSEED		1128	yes
bacterial/middlebrook_7h10_agar.yaml	CultureMech:004805	Middlebrook 7H10 agar	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/min_e_base_10x.yaml	CultureMech:004275	MIN E - Base (10x)	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/mineral_mix_medium_1001.yaml	CultureMech:004277	Mineral Mix (medium 1001)	no ingredients and no solutions	KOMODO ModelSEED		1001	yes
bacterial/mineral_salt_solution_2xw_medium_391.yaml	CultureMech:004806	"Mineral salt solution ""2xW"" (medium 391)"	no ingredients and no solutions	KOMODO ModelSEED	yes	391	yes
bacterial/mineral_salts_solution_for_liquid_medium_medium_1396.yaml	CultureMech:004987	Mineral salts solution for liquid medium (medium 1396)	no ingredients and no solutions	KOMODO ModelSEED	yes	1396	yes
bacterial/mineral_salts_solution_for_solid_medium_medium_1396.yaml	CultureMech:004989	Mineral salts solution for solid medium (medium 1396)	no ingredients and no solutions	KOMODO ModelSEED	yes	1396	yes
bacterial/mineral_solution_1_medium_165.yaml	CultureMech:004278	Mineral solution 1 (medium 165)	no ingredients and no solutions	KOMODO ModelSEED	yes	165	yes
bacterial/mineral_solution_2_medium_1033.yaml	CultureMech:004815	Mineral solution 2 (medium 1033)	no ingredients and no solutions	KOMODO ModelSEED	yes	1033	yes
bacterial/mineral_solution_2_medium_165.yaml	CultureMech:004279	Mineral solution 2 (medium 165)	no ingredients and no solutions	KOMODO ModelSEED	yes	165	yes
bacterial/mineral_solution_2_medium_203.yaml	CultureMech:004997	Mineral solution 2 (medium 203)	no ingredients and no solutions	KOMODO ModelSEED	yes	203	yes
bacterial/mineral_solution_2_medium_404.yaml	CultureMech:004816	Mineral solution 2 (medium 404)	no ingredients and no solutions	KOMODO ModelSEED	yes	404	yes
bacterial/mineral_solution_2_medium_436.yaml	CultureMech:004817	Mineral solution 2 (medium 436)	no ingredients and no solutions	KOMODO ModelSEED	yes	436	yes
bacterial/mineral_solution_a_medium_492.yaml	CultureMech:004280	Mineral solution A (medium 492)	no ingredients and no solutions	KOMODO ModelSEED	yes	492	yes
bacterial/mineral_solution_b_medium_492.yaml	CultureMech:004281	Mineral solution B (medium 492)	no ingredients and no solutions	KOMODO ModelSEED	yes	492	yes
bacterial/mineral_solution_c_medium_492.yaml	CultureMech:004282	Mineral solution C (medium 492)	no ingredients and no solutions	KOMODO ModelSEED	yes	492	yes
bacterial/mineral_solution_medium_212.yaml	CultureMech:005195	Mineral solution (medium 212)	no ingredients and no solutions	KOMODO ModelSEED	yes	212	yes
bacterial/mineral_solution_medium_317.yaml	CultureMech:004818	Mineral solution (medium 317)	no ingredients and no solutions	KOMODO ModelSEED	yes	317	yes
bacterial/mineral_solution_medium_321.yaml	CultureMech:004810	Mineral solution (medium 321)	no ingredients and no solutions	KOMODO ModelSEED	yes	321	yes
bacterial/mineral_solution_medium_328.yaml	CultureMech:004811	Mineral solution (medium 328)	no ingredients and no solutions	KOMODO ModelSEED	yes	328	yes
bacterial/mineral_solution_medium_330.yaml	CultureMech:004812	Mineral solution (medium 330)	no ingredients and no solutions	KOMODO ModelSEED	yes	330	yes
bacterial/mineral_solution_medium_335.yaml	CultureMech:004813	Mineral solution (medium 335)	no ingredients and no solutions	KOMODO ModelSEED	yes	335	yes
bacterial/modified_hoagland_trace_element_solution_medium_867.yaml	CultureMech:004283	Modified hoagland trace element solution (medium 867)	no ingredients and no solutions	KOMODO ModelSEED	yes	867	yes
bacterial/modified_mj_synthetic_sea_water_medium_1131.yaml	CultureMech:004284	Modified MJ synthetic sea water (medium 1131)	no ingredients and no solutions	KOMODO ModelSEED		1131	yes
bacterial/mtp4_medium.yaml	CultureMech:006012	MTP4 MEDIUM	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/mueller_hinton_broth.yaml	CultureMech:005193	Mueller-Hinton broth	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/na_sesquicarbonate_solution_medium_31.yaml	CultureMech:004819	Na-sesquicarbonate solution (medium 31)	no ingredients and no solutions	KOMODO ModelSEED		31	yes
bacterial/nutrient_broth_difco.yaml	CultureMech:005652	Nutrient broth (Difco)	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/nutrient_broth_oxoid_medium_948.yaml	CultureMech:004822	Nutrient broth (Oxoid) (medium 948)	no ingredients and no solutions	KOMODO ModelSEED		948	yes
bacterial/pelobacter_acetylenicus_medium.yaml	CultureMech:005057	PELOBACTER ACETYLENICUS MEDIUM	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/pelobacter_medium.yaml	CultureMech:005242	PELOBACTER medium	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/pelobacter_venetianus_fresh_water_medium.yaml	CultureMech:004774	PELOBACTER VENETIANUS (fresh water) MEDIUM	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/pelobacter_venetianus_marine_medium.yaml	CultureMech:004760	PELOBACTER VENETIANUS (marine) MEDIUM	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/pennassay_broth.yaml	CultureMech:005653	Pennassay Broth	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/phosphate_buffer_10x_medium_1341.yaml	CultureMech:004285	Phosphate buffer (10x) (medium 1341)	no ingredients and no solutions	KOMODO ModelSEED		1341	yes
bacterial/phosphate_buffer_medium_878.yaml	CultureMech:004823	Phosphate buffer (medium 878)	no ingredients and no solutions	KOMODO ModelSEED		878	yes
bacterial/phosphate_buffer_medium_921.yaml	CultureMech:004286	Phosphate buffer (medium 921)	no ingredients and no solutions	KOMODO ModelSEED		921	yes
bacterial/phosphate_buffer_ph_6_8_see_medium_1132.yaml	CultureMech:004287	Phosphate buffer (pH 6.8, see medium 1132)	no ingredients and no solutions	KOMODO ModelSEED		1132	yes
bacterial/phosphate_buffer_ph_7_2.yaml	CultureMech:004824	Phosphate buffer pH 7.2	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/phosphate_solution_medium_1191.yaml	CultureMech:004825	Phosphate solution (medium 1191)	no ingredients and no solutions	KOMODO ModelSEED		1191	yes
bacterial/phosphate_solution_medium_791.yaml	CultureMech:004826	Phosphate solution (medium 791)	no ingredients and no solutions	KOMODO ModelSEED		791	yes
bacterial/pplo_broth.yaml	CultureMech:005654	PPLO broth	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/propionigenium_maris_medium.yaml	CultureMech:006291	PROPIONIGENIUM MARIS medium	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/rumen_fluid_clarified.yaml	CultureMech:006085	Rumen fluid, clarified	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/sabouraud_2_glucose_bouillon_merck_108339.yaml	CultureMech:006517	SABOURAUD-2% Glucose-Bouillon (Merck 108339)	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/salt_base_solution_medium_88.yaml	CultureMech:005194	Salt base solution (medium 88)	no ingredients and no solutions	KOMODO ModelSEED	yes	88	yes
bacterial/salt_concentrate_medium_517.yaml	CultureMech:004288	Salt concentrate (medium 517)	no ingredients and no solutions	KOMODO ModelSEED		517	yes
bacterial/salt_solution_medium_104.yaml	CultureMech:004828	salt solution (medium 104)	no ingredients and no solutions	KOMODO ModelSEED	yes	104	yes
bacterial/salt_solution_medium_1191.yaml	CultureMech:004829	salt solution (medium 1191)	no ingredients and no solutions	KOMODO ModelSEED	yes	1191	yes
bacterial/salt_solution_medium_58.yaml	CultureMech:004830	salt solution (medium 58)	no ingredients and no solutions	KOMODO ModelSEED	yes	58	yes
bacterial/salt_solution_medium_852.yaml	CultureMech:004831	salt solution (medium 852)	no ingredients and no solutions	KOMODO ModelSEED	yes	852	yes
bacterial/salts_solution_medium_1139.yaml	CultureMech:004833	salts solution (medium 1139)	no ingredients and no solutions	KOMODO ModelSEED	yes	1139	yes
bacterial/sb_sw_medium.yaml	CultureMech:006278	SB/SW MEDIUM	no ingredients and no solutions	KOMODO ModelSEED			
bacterial/sea_water_salts_solution_medium_958.yaml	CultureMech:004834	Sea water salts solution (medium 958)	no ingredients and no solutions	KOMODO ModelSEED	yes	958	yes
bacterial/selenite_tungstate_solution_medium_385.yaml	CultureMech:004289	Selenite/tungstate solution (medium 385)	no ingredients and no solutions	KOMODO ModelSEED	yes	385	yes
bacterial/seven_vitamin_solution_medium_1332.yaml	CultureMech:004835	Seven Vitamin solution (medium 1332)	no ingredients and no solutions	KOMODO ModelSEED	yes	1332	yes
bacterial/seven_vitamins_solution_medium_503.yaml	CultureMech:004290	Seven vitamins solution (medium 503)	no ingredients and no solutions	KOMODO ModelSEED		503	yes
bacterial/sludge_fluid_medium_119.yaml	CultureMech:004990	Sludge fluid (medium 119)	no ingredients and no solutions	KOMODO ModelSEED		119	yes
bacterial/soil_extract_medium_98.yaml	CultureMech:004991	Soil extract (medium 98)	no ingredients and no solutions	KOMODO ModelSEED		98	yes
bacterial/solution_1_10x_nms_salts_medium_921.yaml	CultureMech:004291	Solution 1 (10x NMS salts) (medium 921)	no ingredients and no solutions	KOMODO ModelSEED		921	yes
bacterial/solution_a_medium_1267.yaml	CultureMech:005221	Solution A (medium 1267)	no ingredients and no solutions	KOMODO ModelSEED	yes	1267	yes
bacterial/solution_a_medium_1275.yaml	CultureMech:005222	Solution A, medium 1275	no ingredients and no solutions	KOMODO ModelSEED	yes	1275	yes
bacterial/solution_a_medium_858.yaml	CultureMech:005220	Solution A (medium 858)	no ingredients and no solutions	KOMODO ModelSEED	yes	858	yes
bacterial/solution_b_medium_1275.yaml	CultureMech:005223	Solution B, medium 1275	no ingredients and no solutions	KOMODO ModelSEED	yes	1275	yes
