ingredient	kind	rows	records	example_record	has_local_term	section
Thiamine solution (see Medium [M401])	CROSS_REFERENCE	31	31	CultureMech:010380	no	solutions
Trace vitamins solution (see Medium [M278])	CROSS_REFERENCE	30	30	CultureMech:007605	no	solutions
10% Yeast extract solution	SOLUTION_NAME	29	29	CultureMech:015832	no	ingredients
5% L-Cysteine・HCl・H2O solution	SOLUTION_NAME	29	29	CultureMech:009119	no	solutions
Trace mineral solution (see below)	SOLUTION_NAME	28	28	CultureMech:007831	no	solutions
Sol. 1	UNRESOLVED_CHEMICAL	28	28	CultureMech:009918	no	ingredients
Bacto Casamino Acids (Difco)	UNRESOLVED_CHEMICAL	28	28	CultureMech:008724	no	ingredients
Se/W solution (see Medium [M278])	CROSS_REFERENCE	27	27	CultureMech:009810	no	solutions
MnCl2·4H2O	UNRESOLVED_CHEMICAL	26	26	CultureMech:015836	no	ingredients
Vitamin solution (see below)	SOLUTION_NAME	25	25	CultureMech:007901	no	solutions
Trace element solution (see Medium [M278])	CROSS_REFERENCE	25	25	CultureMech:009810	no	solutions
CoCl2·6H2O	UNRESOLVED_CHEMICAL	24	24	CultureMech:015836	no	ingredients
1 M Glucose solution	SOLUTION_NAME	23	23	CultureMech:015856	no	ingredients
5% L-Cysteine·HCl·H2O solution	SOLUTION_NAME	22	21	CultureMech:015840	no	ingredients
H3BO4	UNRESOLVED_CHEMICAL	22	22	CultureMech:004114	no	ingredients
Trace element solution SL--10 (see Medium [M433])	CROSS_REFERENCE	22	22	CultureMech:007522	no	solutions
Na2S・9H2O solutions	SOLUTION_NAME	21	21	CultureMech:009810	no	solutions
Trace vitamins (see Medium No. 197)	CROSS_REFERENCE	21	21	CultureMech:002262	no	ingredients
DL-Serine	UNRESOLVED_CHEMICAL	21	21	CultureMech:007212	no	ingredients
Artificial seawater	UNRESOLVED_CHEMICAL	20	20	CultureMech:000200	no	solutions
Deionized water	UNRESOLVED_CHEMICAL	20	20	CultureMech:000138	no	ingredients
Potato	UNRESOLVED_CHEMICAL	20	20	CultureMech:002908	no	ingredients
KP buffer*	SOLUTION_NAME	19	19	CultureMech:008192	no	solutions
Sodium glycerophosphate	UNRESOLVED_CHEMICAL	19	19	CultureMech:001809	no	ingredients
Pancreatic digest of casein	UNRESOLVED_CHEMICAL	19	19	CultureMech:003541	no	ingredients
Sodium resazurin (0.1% w/v)	UNRESOLVED_CHEMICAL	18	18	CultureMech:009169	no	ingredients
Marine Broth	UNRESOLVED_CHEMICAL	18	18	CultureMech:005909	no	ingredients
Modified Brock's salt base solution (see Medium [M156])	CROSS_REFERENCE	17	17	CultureMech:007855	no	solutions
Bacto agar (BD-Difco)	UNRESOLVED_CHEMICAL	17	17	CultureMech:009470	no	ingredients
NiCl2·6H2O	UNRESOLVED_CHEMICAL	17	17	CultureMech:007450	no	solutions.composition
Trace element mixture*	SOLUTION_NAME	17	17	CultureMech:007467	no	ingredients
Sodium ammonium phosphate	UNRESOLVED_CHEMICAL	17	17	CultureMech:007128	no	ingredients
Sodium phosphate dibasic heptahydrate	UNRESOLVED_CHEMICAL	17	17	CultureMech:015484	no	ingredients
MoLS4	UNRESOLVED_CHEMICAL	17	17	CultureMech:015609	no	ingredients
Trace vitamins* (see Medium No. 197 )	CROSS_REFERENCE	16	16	CultureMech:015832	no	ingredients
Skim milk	UNRESOLVED_CHEMICAL	16	16	CultureMech:004167	no	ingredients
MnSO4·xH2O	UNRESOLVED_CHEMICAL	16	16	CultureMech:008148	no	ingredients
3% Na2S・9H2O solution	SOLUTION_NAME	16	16	CultureMech:010132	no	solutions
B12	UNRESOLVED_CHEMICAL	16	16	CultureMech:001265	no	ingredients
L-Cysteine . HCl	UNRESOLVED_CHEMICAL	16	16	CultureMech:009258	no	ingredients
CaCl2・2H2O	UNRESOLVED_CHEMICAL	16	16	CultureMech:003049	no	ingredients
NaHCO3 solution	SOLUTION_NAME	16	15	CultureMech:007544	no	solutions
Soilwater: GR+ Medium	UNRESOLVED_CHEMICAL	15	15	CultureMech:000001	no	ingredients
MgSO4 x 7 H2O stock solution	SOLUTION_NAME	15	15	CultureMech:000189	no	solutions
CO2 gas	UNRESOLVED_CHEMICAL	15	15	CultureMech:009347	no	ingredients
N-Z amine	UNRESOLVED_CHEMICAL	15	15	CultureMech:002829	no	ingredients
Ferric citrate solution* (0.1%)	SOLUTION_NAME	15	15	CultureMech:007457	no	ingredients
Ground beef (fat free)	UNRESOLVED_CHEMICAL	15	15	CultureMech:009104	no	ingredients
VOSO4・xH2O	UNRESOLVED_CHEMICAL	14	14	CultureMech:007831	no	ingredients
5% NaHCO3 solution	SOLUTION_NAME	14	14	CultureMech:009347	no	solutions
Trace elements solution (Pfennig, 1965)	SOLUTION_NAME	14	14	CultureMech:000244	no	solutions
1.0 M Sodium acetate solution	SOLUTION_NAME	14	14	CultureMech:015833	no	ingredients
Sheep blood	UNRESOLVED_CHEMICAL	14	14	CultureMech:015847	no	ingredients
Vitamin B12 solution (see Medium No. 403)	CROSS_REFERENCE	14	14	CultureMech:003096	no	solutions
Trace element solution (Vishniac & Santer, 1957)	SOLUTION_NAME	14	14	CultureMech:004110	no	solutions
HCl (25%)	UNRESOLVED_CHEMICAL	13	13	CultureMech:009209	no	ingredients
Bacto Marine Broth 2216 (Difco)	UNRESOLVED_CHEMICAL	13	13	CultureMech:008340	no	ingredients
L-Cysteine·HCl·H2O	UNRESOLVED_CHEMICAL	13	13	CultureMech:015837	no	ingredients
Standard vitamin solution	SOLUTION_NAME	13	13	CultureMech:005254	no	solutions
Fe(III)dicitrate	UNRESOLVED_CHEMICAL	13	13	CultureMech:007319	no	ingredients
MJ(-N) synthetic seawater (see Medium [M260])	CROSS_REFERENCE	13	13	CultureMech:007687	no	solutions
NaOH 1 N	UNRESOLVED_CHEMICAL	13	13	CultureMech:009104	no	ingredients
L-cysteine hydrochloride	UNRESOLVED_CHEMICAL	13	13	CultureMech:009104	no	ingredients
dehydrated Wilkins-Chalgren medium	UNRESOLVED_CHEMICAL	13	13	CultureMech:005039	no	ingredients
Wolfe's mineral solution (see Medium [M257])	CROSS_REFERENCE	12	12	CultureMech:007633	no	solutions
Air	UNRESOLVED_CHEMICAL	12	12	CultureMech:008437	no	ingredients
Ferric citrate (0.1%, w/v)	UNRESOLVED_CHEMICAL	12	12	CultureMech:007755	no	ingredients
Fe2(SO4)3・xH2O	UNRESOLVED_CHEMICAL	12	12	CultureMech:009641	no	ingredients
KNO3 stock solution	SOLUTION_NAME	11	11	CultureMech:000191	no	solutions
FeCl2 solution (see Medium No. 187 )	CROSS_REFERENCE	11	11	CultureMech:015860	no	ingredients
Trace element solution (see Medium No. 187 )	CROSS_REFERENCE	11	11	CultureMech:015860	no	ingredients
SL-6 trace element solution (see Medium [M158])	CROSS_REFERENCE	11	11	CultureMech:007650	no	solutions
Allen’s trace element solution	SOLUTION_NAME	11	11	CultureMech:008892	no	solutions
Trace element solution (see Medium [M296])	CROSS_REFERENCE	11	11	CultureMech:009735	no	solutions
Sol. 2	UNRESOLVED_CHEMICAL	11	11	CultureMech:009918	no	ingredients
1% Yeast extract solution	SOLUTION_NAME	11	11	CultureMech:010396	no	solutions
HCl (35%)	UNRESOLVED_CHEMICAL	11	11	CultureMech:009549	no	ingredients
Heart Infusion Broth	UNRESOLVED_CHEMICAL	11	11	CultureMech:004003	no	ingredients
Bacto Middlebrook 7H10 agar	UNRESOLVED_CHEMICAL	11	11	CultureMech:006191	yes	ingredients
Trace element solution SL-11	SOLUTION_NAME	11	11	CultureMech:006543	no	solutions
Sodium phosphate buffer (10 mM; pH7.1)	SOLUTION_NAME	11	11	CultureMech:007472	no	solutions.composition
0.1% Resazurin solution	SOLUTION_NAME	11	11	CultureMech:007780	no	solutions
95% ethanol	UNRESOLVED_CHEMICAL	11	11	CultureMech:009104	no	ingredients
Vitamin solution (see Medium No. 403)	CROSS_REFERENCE	11	11	CultureMech:002296	no	solutions
Thiamine solution (see Medium No. 403)	CROSS_REFERENCE	11	11	CultureMech:002296	no	solutions
K2HPO4 stock solution	SOLUTION_NAME	10	10	CultureMech:000192	no	solutions
Corn meal agar	UNRESOLVED_CHEMICAL	10	10	CultureMech:000061	yes	ingredients
Trace mineral solution (see Medium [M888])	CROSS_REFERENCE	10	10	CultureMech:007605	no	solutions
Sulfur, powdered	UNRESOLVED_CHEMICAL	10	10	CultureMech:008969	no	ingredients
Thiamine . HCl	UNRESOLVED_CHEMICAL	10	10	CultureMech:009258	no	ingredients
MgSO4・7H2O	UNRESOLVED_CHEMICAL	10	10	CultureMech:003286	no	ingredients
Lactobacilli MRS broth	UNRESOLVED_CHEMICAL	10	10	CultureMech:002842	no	ingredients
Methane gas	UNRESOLVED_CHEMICAL	10	10	CultureMech:008437	no	ingredients
10% Glucose solution	SOLUTION_NAME	10	10	CultureMech:015845	no	ingredients
Poly[(R)-3-hydroxybutyric acid]	UNRESOLVED_CHEMICAL	10	10	CultureMech:004228	no	ingredients
Meat infusion	UNRESOLVED_CHEMICAL	10	10	CultureMech:005305	no	ingredients
10% Na2CO3 solution	SOLUTION_NAME	10	10	CultureMech:007454	no	ingredients
Vitamin B12 (0.002% (w/v))	UNRESOLVED_CHEMICAL	10	10	CultureMech:007457	no	ingredients
Sodium phosphate buffer (25 mM; pH 3.4)	SOLUTION_NAME	10	10	CultureMech:007472	no	solutions.composition
O2	UNRESOLVED_CHEMICAL	10	10	CultureMech:007543	no	ingredients
15% MgCl2・6H2O solution	SOLUTION_NAME	10	10	CultureMech:007558	no	solutions
Rumen fluid, clarified (see Medium [M258])	CROSS_REFERENCE	10	10	CultureMech:007832	no	solutions
Agar, if necessary	UNRESOLVED_CHEMICAL	10	10	CultureMech:008871	no	ingredients
Lactobacilli MRS broth (BD-Difco)	UNRESOLVED_CHEMICAL	10	10	CultureMech:009073	no	ingredients
SAG medium 1 micronutrient solution	SOLUTION_NAME	9	9	CultureMech:000192	no	solutions
1 M MgCl2 solution	SOLUTION_NAME	9	8	CultureMech:015832	no	ingredients
MDS salt water (see Medium [M578])	CROSS_REFERENCE	9	9	CultureMech:007514	no	solutions
Se/W solution (see Medium [M888])	CROSS_REFERENCE	9	9	CultureMech:007605	no	solutions
Vitamin solution* (see below)	SOLUTION_NAME	9	9	CultureMech:007623	no	solutions
Trace element solution (see Medium [M1148])	CROSS_REFERENCE	9	8	CultureMech:007674	no	solutions
FeSO4 x 7 H2O solution (0.1% w/v in 0.1 N H2SO4)	SOLUTION_NAME	9	9	CultureMech:009217	no	solutions
Solution A:	SOLUTION_NAME	9	9	CultureMech:009238	no	solutions
Solution B:	SOLUTION_NAME	9	9	CultureMech:009238	no	solutions
Trace metal solution (see below)	SOLUTION_NAME	9	9	CultureMech:009425	no	solutions
SL--4 trace element solution (see Medium [M335])	CROSS_REFERENCE	9	9	CultureMech:010349	no	solutions
Wolfe's Vitamin Solution	SOLUTION_NAME	9	9	CultureMech:009258	no	solutions
2 N NaOH	UNRESOLVED_CHEMICAL	9	9	CultureMech:009216	no	ingredients
1.0 M Glucose solution	SOLUTION_NAME	9	9	CultureMech:015857	no	ingredients
10% MgCl2・6H2O solution	SOLUTION_NAME	9	9	CultureMech:007689	no	solutions
5% NaHCO3 solution*	SOLUTION_NAME	9	9	CultureMech:007744	no	solutions
Na2S・9H2O solution	SOLUTION_NAME	9	9	CultureMech:007800	no	solutions
Trace element solution SL8 (see Medium [M183])	CROSS_REFERENCE	9	9	CultureMech:008434	no	solutions
Selenite-tungstate solution	SOLUTION_NAME	8	8	CultureMech:004073	no	solutions
NaOH solution	SOLUTION_NAME	8	8	CultureMech:009210	no	solutions
H2SO4 solution	SOLUTION_NAME	8	7	CultureMech:009224	no	solutions
5% Na2S・9H2O	UNRESOLVED_CHEMICAL	8	8	CultureMech:010380	no	ingredients
N NaOH	UNRESOLVED_CHEMICAL	8	8	CultureMech:009208	no	ingredients
Mg(SO4) x 7 H2O	UNRESOLVED_CHEMICAL	8	8	CultureMech:001268	no	ingredients
1 M Sodium acetate solution	SOLUTION_NAME	8	8	CultureMech:015834	no	ingredients
1.0 M Sodium thiosulfate solution	SOLUTION_NAME	8	8	CultureMech:015852	no	ingredients
NaHSeO3	UNRESOLVED_CHEMICAL	8	8	CultureMech:003858	no	ingredients
Trace element solution (SLA)	SOLUTION_NAME	8	8	CultureMech:005067	no	solutions
Vitamin solution (VA)	SOLUTION_NAME	8	8	CultureMech:005067	no	solutions
Absolute ethanol	UNRESOLVED_CHEMICAL	8	8	CultureMech:006479	no	ingredients
Bacto Agar (Difco)	UNRESOLVED_CHEMICAL	8	8	CultureMech:007483	no	ingredients
Mineral solution (see below)	SOLUTION_NAME	8	8	CultureMech:007543	no	solutions
Thiamine・HCl・2H2O	UNRESOLVED_CHEMICAL	8	8	CultureMech:007565	no	ingredients
Substrate solution (see below)	SOLUTION_NAME	8	8	CultureMech:007689	no	solutions
Trace metal solution (see Medium [M288])	CROSS_REFERENCE	8	8	CultureMech:007766	no	solutions
Starch (soluble)	UNRESOLVED_CHEMICAL	8	8	CultureMech:009104	no	ingredients
Marine broth 2216 (BD-Difco)	UNRESOLVED_CHEMICAL	8	8	CultureMech:009718	no	ingredients
Na2SiO3	UNRESOLVED_CHEMICAL	8	8	CultureMech:009769	no	ingredients
Yeast extract--malt extract agar (ISP--2) (see Medium [M35])	CROSS_REFERENCE	8	8	CultureMech:010146	no	solutions
Ammonium phosphate	UNRESOLVED_CHEMICAL	8	8	CultureMech:007204	no	ingredients
Lysine-HCl	UNRESOLVED_CHEMICAL	8	8	CultureMech:007240	no	ingredients
Sodium borate	UNRESOLVED_CHEMICAL	8	8	CultureMech:007098	no	ingredients
Sodium EDTA	UNRESOLVED_CHEMICAL	8	8	CultureMech:007177	no	ingredients
Chromium(III) Chloride	UNRESOLVED_CHEMICAL	8	8	CultureMech:007080	no	ingredients
Marine agar 2216 (see Medium [M110])	CROSS_REFERENCE	8	8	CultureMech:007573	no	solutions
Nickel Sulfate	UNRESOLVED_CHEMICAL	8	8	CultureMech:007073	no	ingredients
Filtered natural seawater	UNRESOLVED_CHEMICAL	7	7	CultureMech:000089	no	ingredients
Trace vitamins (see Medium No. 197 )	CROSS_REFERENCE	7	7	CultureMech:015840	no	ingredients
Selenite-tungstate solution (see Medium No. 431 )	CROSS_REFERENCE	7	7	CultureMech:015860	no	ingredients
Fatty acid mixture (see Medium [M258])	CROSS_REFERENCE	7	7	CultureMech:007622	no	solutions
Wolfe's mineral elixir (see Medium [M471])	CROSS_REFERENCE	7	7	CultureMech:007901	no	solutions
5% L--Cysteine・HCl・H2O	UNRESOLVED_CHEMICAL	7	7	CultureMech:010240	no	ingredients
Trace element solution (see Medium [M235])	CROSS_REFERENCE	7	7	CultureMech:010257	no	solutions
Trace elements solution (see below)	SOLUTION_NAME	7	7	CultureMech:010419	no	solutions
Glacial acetic acid	UNRESOLVED_CHEMICAL	7	7	CultureMech:003240	no	ingredients
Fe(III)NH4-EDTA	UNRESOLVED_CHEMICAL	7	7	CultureMech:003842	no	ingredients
Oat flakes	UNRESOLVED_CHEMICAL	7	7	CultureMech:004213	no	ingredients
dehydrated RCM medium	UNRESOLVED_CHEMICAL	7	7	CultureMech:006148	no	ingredients
Tween 80 solution**	SOLUTION_NAME	7	7	CultureMech:007501	no	ingredients
Artificial seawater (see below)	UNRESOLVED_CHEMICAL	7	7	CultureMech:007626	no	ingredients
10% (w/v) Yeast extract solution	SOLUTION_NAME	7	7	CultureMech:007668	no	solutions
Trace minerals solution (see Medium [M221])	CROSS_REFERENCE	7	7	CultureMech:007699	no	solutions
1 M Fructose solution	SOLUTION_NAME	7	7	CultureMech:007736	no	solutions
Ammonium citrate	UNRESOLVED_CHEMICAL	7	7	CultureMech:008827	no	ingredients
Zinc Acetate	UNRESOLVED_CHEMICAL	7	7	CultureMech:007177	no	ingredients
Rye grass	UNRESOLVED_CHEMICAL	7	7	CultureMech:000401	no	ingredients
CaCO3(optional)	UNRESOLVED_CHEMICAL	6	6	CultureMech:000005	no	ingredients
Bristol Medium	UNRESOLVED_CHEMICAL	6	6	CultureMech:000035	no	ingredients
NaNO3 stock solution	SOLUTION_NAME	6	6	CultureMech:000189	no	solutions
Air-dried sieved calcareous soil	UNRESOLVED_CHEMICAL	6	6	CultureMech:000138	no	ingredients
50% (v/v) Methanol	UNRESOLVED_CHEMICAL	6	6	CultureMech:015858	no	ingredients
Sodium resazurin solution (0.1% w/v)	SOLUTION_NAME	6	6	CultureMech:004073	no	solutions
1 M NaHCO3 solution*	SOLUTION_NAME	6	6	CultureMech:007671	no	solutions
Phosphate solution (see below)	SOLUTION_NAME	6	6	CultureMech:007756	no	solutions
1 N HCl	UNRESOLVED_CHEMICAL	6	6	CultureMech:009169	no	ingredients
AIK(SO4)2 x 12 H2O	UNRESOLVED_CHEMICAL	6	6	CultureMech:009173	no	ingredients
10 N H2SO4	UNRESOLVED_CHEMICAL	6	6	CultureMech:009235	no	ingredients
Solution C:	SOLUTION_NAME	6	6	CultureMech:009238	no	solutions
Synthetic seawater (2 x) (see Medium [M236])	CROSS_REFERENCE	6	6	CultureMech:010312	no	solutions
1 M NH4Cl solution	SOLUTION_NAME	6	6	CultureMech:015831	no	ingredients
1.0 M Sodium fumarate solution	SOLUTION_NAME	6	6	CultureMech:015833	no	ingredients
N-Z-Case	UNRESOLVED_CHEMICAL	6	6	CultureMech:002965	no	ingredients
Na-aspartate	UNRESOLVED_CHEMICAL	6	6	CultureMech:003551	no	ingredients
Fe2(SO4)3 x H2O	UNRESOLVED_CHEMICAL	6	6	CultureMech:003629	no	ingredients
Na	UNRESOLVED_CHEMICAL	6	6	CultureMech:003646	no	ingredients
Bovine serum	UNRESOLVED_CHEMICAL	6	6	CultureMech:005285	no	ingredients
Vitamin solution**	SOLUTION_NAME	6	6	CultureMech:007452	no	ingredients
NaHCO3 (10% (w/v))	UNRESOLVED_CHEMICAL	6	6	CultureMech:007457	no	ingredients
Concentrated HCl	UNRESOLVED_CHEMICAL	6	6	CultureMech:007463	no	ingredients
N-Z-Amine A	UNRESOLVED_CHEMICAL	6	6	CultureMech:007479	no	ingredients
Mineral solution (see Medium [M1029])	CROSS_REFERENCE	6	6	CultureMech:007546	no	solutions
VFA solution (see Medium [M124])	CROSS_REFERENCE	6	6	CultureMech:007572	no	solutions
R agar (see Medium [M19])	CROSS_REFERENCE	6	6	CultureMech:007576	no	solutions
Salt solution No. 1 (see Medium [M124])	CROSS_REFERENCE	6	6	CultureMech:007600	no	solutions
Salt solution No. 2 (see Medium [M124])	CROSS_REFERENCE	6	6	CultureMech:007600	no	solutions
Trace elements solution (see Medium [M1094])	CROSS_REFERENCE	6	6	CultureMech:007612	no	solutions
1 M MgCl2・6H2O solution	SOLUTION_NAME	6	6	CultureMech:007616	no	solutions
Solution A (see below)	SOLUTION_NAME	6	6	CultureMech:007619	no	solutions
1 M Na2S2O3 solution	SOLUTION_NAME	6	6	CultureMech:007684	no	solutions
25% L--Ascorbic acid solution	SOLUTION_NAME	6	6	CultureMech:007780	no	solutions
Trace elements solution (see Medium [M305])	CROSS_REFERENCE	6	6	CultureMech:007800	no	solutions
Fetal bovine serum (heat-inactivated)	UNRESOLVED_CHEMICAL	6	6	CultureMech:009030	no	ingredients
sheep blood	UNRESOLVED_CHEMICAL	6	6	CultureMech:009079	no	ingredients
(NH4)2CO3	UNRESOLVED_CHEMICAL	6	6	CultureMech:009296	no	ingredients
Vishniac and Santer trace elements solution	SOLUTION_NAME	6	6	CultureMech:009639	no	solutions
N--Z amine, type A (Sheffield)	UNRESOLVED_CHEMICAL	6	6	CultureMech:009750	no	ingredients
2% Na2S・9H2O solution	SOLUTION_NAME	6	6	CultureMech:009944	no	solutions
L--Cysteine・H2O・HCl	UNRESOLVED_CHEMICAL	6	6	CultureMech:009948	no	ingredients
Micronutrient solution SL7 (see Medium [M535])	CROSS_REFERENCE	6	6	CultureMech:009959	no	solutions
Marine agar 2216 (BD-Difco)	UNRESOLVED_CHEMICAL	6	6	CultureMech:010079	no	ingredients
GAM broth	UNRESOLVED_CHEMICAL	6	6	CultureMech:002931	no	ingredients
20% MgCl2・6H2O solution	SOLUTION_NAME	6	6	CultureMech:002671	no	solutions
Ferrous ammonium sulfate	UNRESOLVED_CHEMICAL	6	6	CultureMech:007380	no	ingredients
Yeast extract*	UNRESOLVED_CHEMICAL	6	6	CultureMech:008560	no	solutions
Cereal leaves	UNRESOLVED_CHEMICAL	6	6	CultureMech:000375	no	ingredients
Erdschreiber's Medium	UNRESOLVED_CHEMICAL	5	5	CultureMech:000004	no	ingredients
Lab-Lemco powder	UNRESOLVED_CHEMICAL	5	5	CultureMech:000060	no	ingredients
Bacto-tryptone stock solution	SOLUTION_NAME	5	5	CultureMech:000203	no	solutions
Yeast extract stock solution	SOLUTION_NAME	5	5	CultureMech:000203	no	solutions
Trace element solution (see Medium No. 1079 )	CROSS_REFERENCE	5	5	CultureMech:015832	no	ingredients
Methanol*	UNRESOLVED_CHEMICAL	5	5	CultureMech:015871	no	ingredients
0.2 M Cellobiose solution	SOLUTION_NAME	5	5	CultureMech:007797	no	solutions
Agar (if necessary)	UNRESOLVED_CHEMICAL	5	5	CultureMech:008432	no	ingredients
NiCl2 x 6 H2O solution (0.1% w/v)	SOLUTION_NAME	5	5	CultureMech:009173	no	solutions
Trace elements (see below)	UNRESOLVED_CHEMICAL	5	5	CultureMech:009897	no	solutions
0.2% FeSO4・6H2O solution	SOLUTION_NAME	5	5	CultureMech:010234	no	solutions
VOSO4·nH2O	UNRESOLVED_CHEMICAL	5	5	CultureMech:008286	no	ingredients
Defibrinated Blood	UNRESOLVED_CHEMICAL	5	5	CultureMech:001823	no	ingredients
8.0% NaHCO3 solution*	SOLUTION_NAME	5	5	CultureMech:015835	no	ingredients
1.0 M Sodium lactate solution	SOLUTION_NAME	5	5	CultureMech:015835	no	ingredients
Trace element solution (see Medium No. 439 )	CROSS_REFERENCE	5	5	CultureMech:015841	no	ingredients
10 N NaOH	UNRESOLVED_CHEMICAL	5	5	CultureMech:015879	no	ingredients
Se/W solution (see below)	SOLUTION_NAME	5	5	CultureMech:015869	no	ingredients
Trace element solution SL10	SOLUTION_NAME	5	5	CultureMech:006894	no	solutions
Bicarbonate solution (1.0 M)***	SOLUTION_NAME	5	5	CultureMech:007472	no	ingredients
Vitamine solution	SOLUTION_NAME	5	5	CultureMech:007472	no	solutions
Distilled water, make up to	UNRESOLVED_CHEMICAL	5	5	CultureMech:007481	no	ingredients
10% (w/v) Na2CO3 solution	SOLUTION_NAME	5	5	CultureMech:007539	no	solutions
Metals ''44'' (see Medium [M140])	CROSS_REFERENCE	5	5	CultureMech:007547	no	solutions
Hemin solution (see Medium [M470])	CROSS_REFERENCE	5	5	CultureMech:007572	no	solutions
Casamino acids, vitamin assay (BD-Difco)	UNRESOLVED_CHEMICAL	5	5	CultureMech:007595	no	ingredients
SrSO4	UNRESOLVED_CHEMICAL	5	5	CultureMech:007611	no	ingredients
Solution B (see below)	SOLUTION_NAME	5	5	CultureMech:007619	no	solutions
Mineral salt solution (see Medium [M299])	CROSS_REFERENCE	5	5	CultureMech:007648	no	solutions
Modified Wolfe's solution (see Medium [M641])	CROSS_REFERENCE	5	4	CultureMech:007658	no	solutions
3% L--Cysteine・HCl・H2O solution	SOLUTION_NAME	5	5	CultureMech:007663	no	solutions
10% CaCl2・2H2O solution	SOLUTION_NAME	5	5	CultureMech:007689	no	solutions
Heart infusion broth (BD-Difco)	UNRESOLVED_CHEMICAL	5	5	CultureMech:007697	no	ingredients
Vitamin solution (see Medium [M560])	CROSS_REFERENCE	5	5	CultureMech:007706	no	solutions
1 M CaCl2・2H2O solution	SOLUTION_NAME	5	5	CultureMech:007727	no	solutions
air	UNRESOLVED_CHEMICAL	5	5	CultureMech:007770	no	ingredients
4% Na2SO3 solution	SOLUTION_NAME	5	5	CultureMech:007780	no	solutions
Se/W solution (see Medium [M312])	CROSS_REFERENCE	5	5	CultureMech:007825	no	solutions
GAM broth (Nissui)	UNRESOLVED_CHEMICAL	5	5	CultureMech:007862	no	ingredients
R2A agar (BD-Difco)	UNRESOLVED_CHEMICAL	5	5	CultureMech:007863	no	ingredients
glucose solution	SOLUTION_NAME	5	5	CultureMech:007916	no	solutions
Na2S2O3 solution	SOLUTION_NAME	5	5	CultureMech:008332	no	solutions
