finding	ingredient	our_ids	our_label_asserted	mim_id	mim_label	rows	detail
MISSING_GROUNDING	Biphenyl		CHEBI:17097=biphenyl	CHEBI:17097	biphenyl	3	MIM grounds this name; 3 row(s) of it are bare while 1 are grounded
MISSING_GROUNDING	CaCl2 x 2 H2O		CHEBI:86158=calcium chloride dihydrate	CHEBI:86158	calcium chloride dihydrate	1	MIM grounds this name; 1 row(s) of it are bare while 4746 are grounded
INTERNAL_SPLIT	Calcium Chloride	CHEBI:86158=91|CHEBI:3312=6	CHEBI:86158=calcium chloride dihydrate|CHEBI:3312=calcium dichloride			97	2 CHEBI ids for one name; MIM has no opinion
INTERNAL_SPLIT	Calcium chloride dihydrate	CHEBI:86158=227|CHEBI:3312=2	CHEBI:86158=calcium chloride dihydrate|CHEBI:3312=calcium dichloride			229	2 CHEBI ids for one name; MIM has no opinion
MISSING_GROUNDING	Calcium pantothenate		CHEBI:31345=Calcium pantothenate	CHEBI:31345	Calcium pantothenate	1	MIM grounds this name; 1 row(s) of it are bare while 1005 are grounded
MISSING_GROUNDING	Carbon monoxide			CHEBI:17245	carbon monoxide	2	MIM grounds this name and we do not
DIVERGENT	Carboxymethyl cellulose	CHEBI:85146=5	CHEBI:85146=carboxymethylcellulose	CHEBI:234035	carboxymethylcellulose sodium salt	5	we and MIM both ground this name, to different ids
MISSING_GROUNDING	CeCl3		CHEBI:35458=cerium trichloride	CHEBI:35458	cerium trichloride	1	MIM grounds this name; 1 row(s) of it are bare while 4 are grounded
MISSING_GROUNDING	Cefoxitin			CHEBI:209807	cefoxitin	1	MIM grounds this name and we do not
MISSING_GROUNDING	Charcoal		CHEBI:91090=charcoal	CHEBI:91090	charcoal	2	MIM grounds this name; 2 row(s) of it are bare while 3 are grounded
MISSING_GROUNDING	Chitin		CHEBI:17029=chitin	CHEBI:17029	chitin	7	MIM grounds this name; 7 row(s) of it are bare while 5 are grounded
MISSING_GROUNDING	Chloramphenicol			CHEBI:17698	chloramphenicol	8	MIM grounds this name and we do not
DIVERGENT	Cholesterol	CHEBI:140435=4	CHEBI:140435=cholesterol-2,2,3,4,4,6-d6	CHEBI:16113	cholesterol	4	we and MIM both ground this name, to different ids
DIVERGENT	Citrate	CHEBI:30769=63	CHEBI:30769=citric acid	CHEBI:16947	citrate(3-)	63	we and MIM both ground this name, to different ids
INTERNAL_SPLIT	Citric Acid	CHEBI:30769=63|CHEBI:53258=50	CHEBI:30769=citric acid|CHEBI:53258=sodium citrate	CHEBI:30769	citric acid	113	2 CHEBI ids for one name; MIM matches one of them
MISSING_GROUNDING	Citric acid x H2O		CHEBI:31404=Citric acid monohydrate	CHEBI:31404	Citric acid monohydrate	1	MIM grounds this name; 1 row(s) of it are bare while 2 are grounded
INTERNAL_SPLIT	Co Carboxylase	CHEBI:18290=2|CHEBI:9532=1	CHEBI:18290=thiamine(1+) diphosphate chloride|CHEBI:9532=thiamine(1+) diphosphate			3	2 CHEBI ids for one name; MIM has no opinion
INTERNAL_SPLIT	Cobalamine	CHEBI:30411=3|CHEBI:28911=1	CHEBI:30411=cobalamin|CHEBI:28911=cob(III)alamin	CHEBI:30411	cobalamin	4	2 CHEBI ids for one name; MIM matches one of them
MISSING_GROUNDING	CoSO4 x 7 H2O		CHEBI:91244=cobalt(2+) sulfate heptahydrate	CHEBI:91244	cobalt(2+) sulfate heptahydrate	1	MIM grounds this name; 1 row(s) of it are bare while 771 are grounded
MISSING_GROUNDING	CuCl2 x 2 H2O		CHEBI:86318=copper(II) chloride dihydrate	CHEBI:86318	copper(II) chloride dihydrate	1	MIM grounds this name; 1 row(s) of it are bare while 2181 are grounded
MISSING_GROUNDING	Cystine			CHEBI:17376	cystine	1	MIM grounds this name and we do not
MISSING_GROUNDING	D-Alanine			CHEBI:15570	D-alanine	2	MIM grounds this name and we do not
INTERNAL_SPLIT	D-Arabinose	CHEBI:46983=4|CHEBI:17108=2	CHEBI:46983=aldehydo-D-arabinose|CHEBI:17108=D-arabinose	CHEBI:17108	D-arabinose	6	2 CHEBI ids for one name; MIM matches one of them
MISSING_GROUNDING	D-Aspartate			CHEBI:29994	D-aspartate(2-)	1	MIM grounds this name and we do not
MISSING_GROUNDING	D-cycloserine			CHEBI:40009	D-cycloserine	1	MIM grounds this name and we do not
INTERNAL_SPLIT	D-Fructose	CHEBI:15824=44|CHEBI:48095=9	CHEBI:15824=D-fructose|CHEBI:48095=keto-D-fructose	CHEBI:15824	D-fructose	53	2 CHEBI ids for one name; MIM matches one of them
MISSING_GROUNDING	D-Glucarate			CHEBI:30612	D-glucarate(2-)	1	MIM grounds this name and we do not
INTERNAL_SPLIT	D-glucose	CHEBI:17634=597|CHEBI:17234=130	CHEBI:17634=D-glucose|CHEBI:17234=glucose			727	2 CHEBI ids for one name; MIM has no opinion
MISSING_GROUNDING	D-Glucose 6-phosphate			CHEBI:14314	D-glucose 6-phosphate	1	MIM grounds this name and we do not
INTERNAL_SPLIT	D-Mannose	CHEBI:16024=8|CHEBI:37675=4	CHEBI:16024=D-mannose|CHEBI:37675=aldehydo-D-mannose	CHEBI:16024	D-mannose	12	2 CHEBI ids for one name; MIM matches one of them
MISSING_GROUNDING	D-Ribose			CHEBI:16988	D-ribose	1	MIM grounds this name and we do not
INTERNAL_SPLIT	D-Trehalose	CHEBI:27082=2|CHEBI:16551=1	CHEBI:27082=trehalose|CHEBI:16551=alpha,alpha-trehalose			3	2 CHEBI ids for one name; MIM has no opinion
INTERNAL_SPLIT	D-Trehalose dihydrate	CHEBI:232797=14|CHEBI:83760=1	CHEBI:232797=trehalose dihydrate|CHEBI:83760=EC 2.4.1.64 (alpha,alpha-trehalose phosphorylase) inhibitor			15	2 CHEBI ids for one name; MIM has no opinion
INTERNAL_SPLIT	D(+)-Glucose	CHEBI:17634=227|CHEBI:15824=13	CHEBI:17634=D-glucose|CHEBI:15824=D-fructose			240	2 CHEBI ids for one name; MIM has no opinion
INTERNAL_SPLIT	Dextrose	CHEBI:17634=258|CHEBI:15824=16	CHEBI:17634=D-glucose|CHEBI:15824=D-fructose			274	2 CHEBI ids for one name; MIM has no opinion
INTERNAL_SPLIT	Dipotassium phosphate	CHEBI:131527=475|CHEBI:63036=1	CHEBI:131527=dipotassium hydrogen phosphate|CHEBI:63036=potassium dihydrogen phosphate			476	2 CHEBI ids for one name; MIM has no opinion
INTERNAL_SPLIT	Dithiothreitol	CHEBI:42106=30|CHEBI:18320=22	CHEBI:42106=L-1,4-dithiothreitol|CHEBI:18320=1,4-dithiothreitol			52	2 CHEBI ids for one name; MIM has no opinion
INTERNAL_SPLIT	DL-Dithiothreitol	CHEBI:18320=64|CHEBI:42106=1	CHEBI:18320=1,4-dithiothreitol|CHEBI:42106=L-1,4-dithiothreitol	CHEBI:18320	1,4-dithiothreitol	65	2 CHEBI ids for one name; MIM matches one of them
INTERNAL_SPLIT	DL-mevalonic acid	CHEBI:150970=5|CHEBI:25351=1	CHEBI:150970=(2R,4S,5R,6R)-5-Acetamido-2-[(2R,3S,4R,5S)-5-acetamido-4-[(2R,3R,4R,5S,6R)-3-acetamido-6-(hydroxymethyl)-5-[(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4-[(2S,3S,4R,5S,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-2,3,6-trihydroxyhexoxy]-4-hydroxy-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxane-2-carboxylic acid acid acid|CHEBI:25351=mevalonic acid	CHEBI:25351	mevalonic acid	6	2 CHEBI ids for one name; MIM matches one of them
INTERNAL_SPLIT	DL-Na-malate	CHEBI:91260=3|CHEBI:91261=1	CHEBI:91260=disodium malate|CHEBI:91261=disodium (S)-malate			4	2 CHEBI ids for one name; MIM has no opinion
INTERNAL_SPLIT	DL-Tryptophan	CHEBI:27897=3|CHEBI:57912=2	CHEBI:27897=tryptophan|CHEBI:57912=L-tryptophan zwitterion			5	2 CHEBI ids for one name; MIM has no opinion
DIVERGENT	EDTA	CHEBI:64755=568	CHEBI:64755=EDTA(2-)	CHEBI:4735	ethylenediaminetetraacetic acid	568	we and MIM both ground this name, to different ids
MISSING_GROUNDING	Ethanolamine		CHEBI:16000=ethanolamine	CHEBI:16000	ethanolamine	2	MIM grounds this name; 2 row(s) of it are bare while 1 are grounded
INTERNAL_SPLIT	Fe(NH4)citrate	CHEBI:31604=19|CHEBI:144421=16	CHEBI:31604=ferric ammonium citrate|CHEBI:144421=iron(III) citrate			35	2 CHEBI ids for one name; MIM has no opinion
MISSING_GROUNDING	FeCl3 x 6 H2O		CHEBI:86254=iron trichloride hexahydrate	CHEBI:86254	iron trichloride hexahydrate	2	MIM grounds this name; 2 row(s) of it are bare while 434 are grounded
MISSING_GROUNDING	Folic acid		CHEBI:27470=folic acid	CHEBI:27470	folic acid	1	MIM grounds this name; 1 row(s) of it are bare while 2048 are grounded
MISSING_GROUNDING	Folinic acid			CHEBI:15640	5-formyltetrahydrofolic acid	2	MIM grounds this name and we do not
INTERNAL_SPLIT	Fructose	CHEBI:28757=39|CHEBI:15824=26|CHEBI:28645=21	CHEBI:28757=fructose|CHEBI:15824=D-fructose|CHEBI:28645=beta-D-fructofuranose	CHEBI:28757	fructose	86	3 CHEBI ids for one name; MIM matches one of them
MISSING_GROUNDING	Fumarate			CHEBI:29806	fumarate(2-)	2	MIM grounds this name and we do not
MISSING_GROUNDING	Galactitol			CHEBI:16813	galactitol	1	MIM grounds this name and we do not
MISSING_GROUNDING	Gentamicin			CHEBI:17833	gentamycin	2	MIM grounds this name and we do not
MISSING_GROUNDING	Glycerol mono-oleate		CHEBI:75937=monooleoylglycerol	CHEBI:75937	monooleoylglycerol	1	MIM grounds this name; 1 row(s) of it are bare while 2 are grounded
MISSING_GROUNDING	Glycolate			CHEBI:29805	glycolate	2	MIM grounds this name and we do not
MISSING_GROUNDING	Guaiacol			CHEBI:28591	guaiacol	1	MIM grounds this name and we do not
INTERNAL_SPLIT	H3BO2	CHEBI:38267=3|CHEBI:33118=1	CHEBI:38267=boronic acid|CHEBI:33118=boric acid	CHEBI:38267	boronic acid	4	2 CHEBI ids for one name; MIM matches one of them
MISSING_GROUNDING	H3BO3		CHEBI:33118=boric acid	CHEBI:33118	boric acid	1	MIM grounds this name; 1 row(s) of it are bare while 3910 are grounded
INTERNAL_SPLIT	HEPES	CHEBI:46756=157|CHEBI:42334=65	CHEBI:46756=HEPES|CHEBI:42334=2-[4-(2-hydroxyethyl)piperazin-1-yl]ethanesulfonic acid	CHEBI:42334	2-[4-(2-hydroxyethyl)piperazin-1-yl]ethanesulfonic acid	222	2 CHEBI ids for one name; MIM matches one of them
INTERNAL_SPLIT	Inositol	CHEBI:17268=18|CHEBI:24848=18	CHEBI:17268=myo-inositol|CHEBI:24848=inositol	CHEBI:24848	inositol	36	2 CHEBI ids for one name; MIM matches one of them
MISSING_GROUNDING	Isobutyramide		CHEBI:193555=isobutyramide	CHEBI:193555	isobutyramide	2	MIM grounds this name; 2 row(s) of it are bare while 1 are grounded
MISSING_GROUNDING	K2CO3		CHEBI:131526=potassium carbonate	CHEBI:131526	potassium carbonate	1	MIM grounds this name; 1 row(s) of it are bare while 9 are grounded
MISSING_GROUNDING	K2SO4		CHEBI:32036=potassium sulfate	CHEBI:32036	potassium sulfate	1	MIM grounds this name; 1 row(s) of it are bare while 111 are grounded
MISSING_GROUNDING	K2SO4 x 7 H2O		CHEBI:32036=potassium sulfate	CHEBI:32036	potassium sulfate	1	MIM grounds this name; 1 row(s) of it are bare while 1 are grounded
MISSING_GROUNDING	kanamycin			CHEBI:6104	kanamycin	5	MIM grounds this name and we do not
INTERNAL_SPLIT	KF	CHEBI:66872=3|CHEBI:73605=2	CHEBI:66872=potassium fluoride|CHEBI:73605=Lys-Phe			5	2 CHEBI ids for one name; MIM has no opinion
MISSING_GROUNDING	KNO2			CHEBI:232610	potassium nitrite	2	MIM grounds this name and we do not
MISSING_GROUNDING	L--Alanine		CHEBI:16977=L-alanine	CHEBI:16977	L-alanine	1	MIM grounds this name; 1 row(s) of it are bare while 58 are grounded
MISSING_GROUNDING	L-Arabinose			CHEBI:30849	L-arabinose	3	MIM grounds this name and we do not
MISSING_GROUNDING	L-Aspartate			CHEBI:29991	L-aspartate(1-)	21	MIM grounds this name and we do not
INTERNAL_SPLIT	L-Cysteine	CHEBI:17561=115|CHEBI:15356=14	CHEBI:17561=L-cysteine|CHEBI:15356=cysteine	CHEBI:17561	L-cysteine	129	2 CHEBI ids for one name; MIM matches one of them
MISSING_GROUNDING	L-Cysteine HCl		CHEBI:91247=L-cysteine hydrochloride	CHEBI:91247	L-cysteine hydrochloride	1	MIM grounds this name; 1 row(s) of it are bare while 161 are grounded
MISSING_GROUNDING	L-Cystine		CHEBI:16283=L-cystine	CHEBI:16283	L-cystine	5	MIM grounds this name; 5 row(s) of it are bare while 13 are grounded
MISSING_GROUNDING	L-Inositol			CHEBI:27374	1L-chiro-inositol	1	MIM grounds this name and we do not
MISSING_GROUNDING	L-Leucine		CHEBI:15603=L-leucine	CHEBI:15603	L-leucine	1	MIM grounds this name; 1 row(s) of it are bare while 107 are grounded
MISSING_GROUNDING	L--Lysine		CHEBI:18019=L-lysine	CHEBI:18019	L-lysine	2	MIM grounds this name; 2 row(s) of it are bare while 83 are grounded
INTERNAL_SPLIT	L-Lysine HCl	CHEBI:53633=3|CHEBI:53558=2	CHEBI:53633=L-lysine hydrochloride|CHEBI:53558=D-lysine hydrochloride	CHEBI:53633	L-lysine hydrochloride	5	2 CHEBI ids for one name; MIM matches one of them
MISSING_GROUNDING	L-Proline		CHEBI:17203=L-proline	CHEBI:17203	L-proline	2	MIM grounds this name; 2 row(s) of it are bare while 110 are grounded
MISSING_GROUNDING	L-Serine		CHEBI:17115=L-serine	CHEBI:17115	L-serine	2	MIM grounds this name; 2 row(s) of it are bare while 117 are grounded
INTERNAL_SPLIT	L-Sodium lactate	CHEBI:232798=21|CHEBI:75228=13	CHEBI:232798=sodium L-lactate|CHEBI:75228=sodium lactate			34	2 CHEBI ids for one name; MIM has no opinion
MISSING_GROUNDING	L--Valine		CHEBI:16414=L-valine	CHEBI:16414	L-valine	1	MIM grounds this name; 1 row(s) of it are bare while 90 are grounded
INTERNAL_SPLIT	Lactose	CHEBI:17716=41|CHEBI:36218=9	CHEBI:17716=lactose|CHEBI:36218=beta-lactose	CHEBI:17716	lactose	50	2 CHEBI ids for one name; MIM matches one of them
MISSING_GROUNDING	Levulinic acid			CHEBI:45630	4-oxopentanoic acid	1	MIM grounds this name and we do not
MISSING_GROUNDING	Lipopolysaccharide			CHEBI:16412	lipopolysaccharide	3	MIM grounds this name and we do not
MISSING_GROUNDING	Lysine			CHEBI:25094	lysine	11	MIM grounds this name and we do not
INTERNAL_SPLIT	m-Inositol	CHEBI:10642=20|CHEBI:166917=1	CHEBI:10642=scyllo-inositol|CHEBI:166917=Ins-1-P-Man-alpha-1->6-Ins-1-P-Cer(d18:0)(2-)			21	2 CHEBI ids for one name; MIM has no opinion
INTERNAL_SPLIT	Magnesium chloride hexahydrate	CHEBI:86345=74|CHEBI:6636=2	CHEBI:86345=magnesium dichloride hexahydrate|CHEBI:6636=magnesium dichloride			76	2 CHEBI ids for one name; MIM has no opinion
INTERNAL_SPLIT	Magnesium Sulfate Heptahydrate	CHEBI:31795=218|CHEBI:32599=2	CHEBI:31795=magnesium sulfate heptahydrate|CHEBI:32599=magnesium sulfate			220	2 CHEBI ids for one name; MIM has no opinion
MISSING_GROUNDING	maltodextrin			CHEBI:25140	maltodextrin	1	MIM grounds this name and we do not
INTERNAL_SPLIT	maltose	CHEBI:17306=137|CHEBI:18167=40	CHEBI:17306=maltose|CHEBI:18167=alpha-maltose	CHEBI:17306	maltose	177	2 CHEBI ids for one name; MIM matches one of them
MISSING_GROUNDING	Melezitose		CHEBI:6731=melezitose	CHEBI:6731	melezitose	1	MIM grounds this name; 1 row(s) of it are bare while 1 are grounded
INTERNAL_SPLIT	MES	CHEBI:39010=76|CHEBI:39005=34	CHEBI:39010=MES|CHEBI:39005=2-(N-morpholino)ethanesulfonic acid	CHEBI:39010	MES	110	2 CHEBI ids for one name; MIM matches one of them
MISSING_GROUNDING	methane			CHEBI:16183	methane	8	MIM grounds this name and we do not
DIVERGENT	Mg-citrate	CHEBI:131389=5	CHEBI:131389=magnesium citrate	CHEBI:131391	trimagnesium dicitrate	5	we and MIM both ground this name, to different ids
DIVERGENT	MgCl2x 6 H2O	CHEBI:86345=4	CHEBI:86345=magnesium dichloride hexahydrate	CHEBI:6636	magnesium dichloride	4	we and MIM both ground this name, to different ids
MISSING_GROUNDING	MnCl2 x 4 H2O		CHEBI:86368=manganese(II) chloride tetrahydrate	CHEBI:86368	manganese(II) chloride tetrahydrate	2	MIM grounds this name; 2 row(s) of it are bare while 2687 are grounded
INTERNAL_SPLIT	MnSO4 x 4 H2O	CHEBI:86358=69|CHEBI:86360=6	CHEBI:86358=manganese(II) sulfate tetrahydrate|CHEBI:86360=manganese(II) sulfate			75	2 CHEBI ids for one name; MIM has no opinion
INTERNAL_SPLIT	MnSO4 x 5 H2O	CHEBI:131524=31|CHEBI:86360=1	CHEBI:131524=manganese(II) sulfate pentahydrate|CHEBI:86360=manganese(II) sulfate			32	2 CHEBI ids for one name; MIM has no opinion
INTERNAL_SPLIT	Monosodium glutamate	CHEBI:64220=8|CHEBI:64243=2	CHEBI:64220=monosodium glutamate|CHEBI:64243=monosodium L-glutamate			10	2 CHEBI ids for one name; MIM has no opinion
INTERNAL_SPLIT	MOPS	CHEBI:39074=74|CHEBI:44115=17	CHEBI:39074=MOPS|CHEBI:44115=3-(N-morpholino)propanesulfonic acid	CHEBI:39074	MOPS	91	2 CHEBI ids for one name; MIM matches one of them
INTERNAL_SPLIT	N -Acetyl-D-glucosamine	CHEBI:8006=15|CHEBI:506227=6|CHEBI:59640=6	CHEBI:8006=Peptidoglycan(N-acetyl-D-glucosamine)|CHEBI:506227=N-acetyl-D-glucosamine|CHEBI:59640=N-acetylglucosamine			27	3 CHEBI ids for one name; MIM has no opinion
INTERNAL_SPLIT	N-Acetyl-glutamic acid	CHEBI:172431=9|CHEBI:17533=1	CHEBI:172431=Acetyl-Glu|CHEBI:17533=N-acetyl-L-glutamic acid			10	2 CHEBI ids for one name; MIM has no opinion
INTERNAL_SPLIT	n-Acetyl-glutamine	CHEBI:73685=9|CHEBI:133362=1	CHEBI:73685=N(2)-acetylglutamine|CHEBI:133362=N-acetyl-L-methionyl-L-glutaminyl residue			10	2 CHEBI ids for one name; MIM has no opinion
INTERNAL_SPLIT	n-Acetyl-lysine	CHEBI:35704=9|CHEBI:61930=1	CHEBI:35704=N(2)-acetyl-L-lysine|CHEBI:61930=N(6)-acetyl-L-lysine residue			10	2 CHEBI ids for one name; MIM has no opinion
INTERNAL_SPLIT	n-Acetyl-muramic acid	CHEBI:47966=9|CHEBI:40666=1	CHEBI:47966=aldehydo-N-acetylmuramic acid|CHEBI:40666=1,6-anhydro-N-acetyl-beta-muramic acid			10	2 CHEBI ids for one name; MIM has no opinion
INTERNAL_SPLIT	Na-butyrate	CHEBI:64103=17|CHEBI:17968=1	CHEBI:64103=sodium butyrate|CHEBI:17968=butyrate			18	2 CHEBI ids for one name; MIM has no opinion
INTERNAL_SPLIT	Na-DL-malate	CHEBI:91260=4|CHEBI:91261=2	CHEBI:91260=disodium malate|CHEBI:91261=disodium (S)-malate			6	2 CHEBI ids for one name; MIM has no opinion
MISSING_GROUNDING	Na-gallate		CHEBI:115197=sodium gallate	CHEBI:115197	sodium gallate	1	MIM grounds this name; 1 row(s) of it are bare while 1 are grounded
INTERNAL_SPLIT	Na glutamate	CHEBI:64220=82|CHEBI:29988=2	CHEBI:64220=monosodium glutamate|CHEBI:29988=L-glutamate(2-)	CHEBI:64220	monosodium glutamate	84	2 CHEBI ids for one name; MIM matches one of them
INTERNAL_SPLIT	Na malate	CHEBI:91260=9|CHEBI:91261=6	CHEBI:91260=disodium malate|CHEBI:91261=disodium (S)-malate			15	2 CHEBI ids for one name; MIM has no opinion
INTERNAL_SPLIT	Na-tartrate	CHEBI:63017=4|CHEBI:30924=1	CHEBI:63017=sodium L-tartrate|CHEBI:30924=L-tartrate(2-)			5	2 CHEBI ids for one name; MIM has no opinion
INTERNAL_SPLIT	Na-thioglycolate	CHEBI:86481=97|CHEBI:30066=4	CHEBI:86481=sodium thioglycolate|CHEBI:30066=thioglycolate(1-)			101	2 CHEBI ids for one name; MIM has no opinion
MISSING_GROUNDING	Na-vanillate		CHEBI:132748=sodium vanillate	CHEBI:132748	sodium vanillate	1	MIM grounds this name; 1 row(s) of it are bare while 2 are grounded
INTERNAL_SPLIT	Na2S2O3	CHEBI:132112=42|CHEBI:32150=19	CHEBI:132112=sodium thiosulfate|CHEBI:32150=sodium thiosulfate pentahydrate	CHEBI:132112	sodium thiosulfate	61	2 CHEBI ids for one name; MIM matches one of them
INTERNAL_SPLIT	Na2SeO4 x 10 H2O	CHEBI:77775=2|CHEBI:32586=1	CHEBI:77775=sodium selenate|CHEBI:32586=sodium sulfate decahydrate			3	2 CHEBI ids for one name; MIM has no opinion
INTERNAL_SPLIT	Na2SiO3 x 5 H2O	CHEBI:60720=2|CHEBI:86477=2	CHEBI:60720=sodium silicate|CHEBI:86477=sodium sulfite			4	2 CHEBI ids for one name; MIM has no opinion
MISSING_GROUNDING	Na2WO4 x 2 H2O		CHEBI:63939=sodium tungstate dihydrate	CHEBI:63939	sodium tungstate dihydrate	1	MIM grounds this name; 1 row(s) of it are bare while 1407 are grounded
INTERNAL_SPLIT	Na3-EDTA	CHEBI:63125=15|CHEBI:64734=2	CHEBI:63125=EDTA trisodium salt|CHEBI:64734=EDTA disodium salt (anhydrous)			17	2 CHEBI ids for one name; MIM has no opinion
MISSING_GROUNDING	Naphthalene sulfonic acid		CHEBI:36336=naphthalenesulfonic acid	CHEBI:36336	naphthalenesulfonic acid	2	MIM grounds this name; 2 row(s) of it are bare while 1 are grounded
MISSING_GROUNDING	Neomycin			CHEBI:7507	neomycin	2	MIM grounds this name and we do not
INTERNAL_SPLIT	Nicotinate	CHEBI:15940=139|CHEBI:32544=4	CHEBI:15940=nicotinic acid|CHEBI:32544=nicotinate			143	2 CHEBI ids for one name; MIM has no opinion
MISSING_GROUNDING	Nicotinic acid		CHEBI:15940=nicotinic acid	CHEBI:15940	nicotinic acid	1	MIM grounds this name; 1 row(s) of it are bare while 2301 are grounded
DIVERGENT	NiSO4 x 7 H2O	CHEBI:53001=9	CHEBI:53001=nickel sulfate	CHEBI:53504	nickel sulfate heptahydrate	9	we and MIM both ground this name, to different ids
MISSING_GROUNDING	Nitrate			CHEBI:17632	nitrate	7	MIM grounds this name and we do not
INTERNAL_SPLIT	Nitrilotriacetate	CHEBI:25548=12|CHEBI:44557=2	CHEBI:25548=nitrilotriacetate(3-)|CHEBI:44557=nitrilotriacetic acid	CHEBI:25548	nitrilotriacetate(3-)	14	2 CHEBI ids for one name; MIM matches one of them
MISSING_GROUNDING	Nitrilotriacetic acid		CHEBI:44557=nitrilotriacetic acid	CHEBI:44557	nitrilotriacetic acid	1	MIM grounds this name; 1 row(s) of it are bare while 1232 are grounded
MISSING_GROUNDING	p-Aminobenzoic acid		CHEBI:30753=4-aminobenzoic acid	CHEBI:30753	4-aminobenzoic acid	2	MIM grounds this name; 2 row(s) of it are bare while 2152 are grounded
MISSING_GROUNDING	Penicillin G			CHEBI:51765	benzylpenicillin sodium	3	MIM grounds this name and we do not
MISSING_GROUNDING	Pentachlorophenol		CHEBI:17642=pentachlorophenol	CHEBI:17642	pentachlorophenol	1	MIM grounds this name; 1 row(s) of it are bare while 1 are grounded
MISSING_GROUNDING	Polymyxin B sulfate			CHEBI:8310	Polymyxin B sulfate	1	MIM grounds this name and we do not
MISSING_GROUNDING	Potassium Gluconate			CHEBI:32032	Potassium gluconate	31	MIM grounds this name and we do not
INTERNAL_SPLIT	Potassium Phosphate	CHEBI:63036=5|CHEBI:131527=4	CHEBI:63036=potassium dihydrogen phosphate|CHEBI:131527=dipotassium hydrogen phosphate			9	2 CHEBI ids for one name; MIM has no opinion
