artifact	kind	reason	writes	mentioned_by	freshness_checked
data/normalized_yaml/by_source_komodo_index.json	UNKNOWN	no writer found			
data/normalized_yaml/by_source_mediadive_index.json	UNKNOWN	no writer found			
data/normalized_yaml/by_source_togo_index.json	UNKNOWN	no writer found			
data/normalized_yaml/by_source_unknown_index.json	UNKNOWN	no writer found			
data/normalized_yaml/fungal_index.json	UNKNOWN	no writer found			
data/normalized_yaml/recipe_index.json	CURRENT_VIEW	generate_recipe_indexes.py		scripts/generate_recipe_indexes.py	
data/normalized_yaml/recipe_statistics.json	CURRENT_VIEW	generate_recipe_indexes.py		scripts/generate_recipe_indexes.py	
data/normalized_yaml/solutions/mediadive_solution_index.json	UNKNOWN	writer purity unestablished (import_mediadive_solutions.py)	scripts/import_mediadive_solutions.py	scripts/import_mediadive_solutions.py; scripts/migrate_solutions_from_ingredients.py	
data/normalized_yaml/solutions_index.json	UNKNOWN	no writer found			
data/normalized_yaml/specialized_index.json	UNKNOWN	no writer found			
data/raw/microbe-media-param/compound_mappings_strict_final.tsv	UNKNOWN	writer purity unestablished (chemical_mappings.py)		src/culturemech/import/chemical_mappings.py	
data/raw/microbe-media-param/compound_mappings_strict_final_hydrate.tsv	UNKNOWN	writer purity unestablished (chemical_mappings.py)		src/culturemech/import/chemical_mappings.py	
data/solution_to_chebi_mapping.json	UNKNOWN	writer purity unestablished (build_compound_to_chebi_mapping.py)		scripts/build_compound_to_chebi_mapping.py; scripts/build_enhanced_compound_mapping.py; scripts/build_fast_compound_mapping.py; src/culturemech/embedding/aggregator.py; src/culturemech/embedding/aggregator_yaml_source.py; src/culturemech/visualization/umap_generator.py	
reports/archive/mim_algae_enrichment.json	SNAPSHOT	archived			
reports/archive/mim_archaea_enrichment.json	SNAPSHOT	archived			
reports/archive/mim_bacterial_dryrun.json	SNAPSHOT	archived			
reports/archive/mim_bacterial_enrichment.json	SNAPSHOT	archived			
reports/archive/mim_fungal_enrichment.json	SNAPSHOT	archived			
reports/archive/mim_specialized_enrichment.json	SNAPSHOT	archived			
reports/archive/validation_20260316.json	SNAPSHOT	archived			
reports/archive/validation_20260316.tsv	SNAPSHOT	archived			
reports/archive/validation_corrected_20260316.json	SNAPSHOT	archived			
reports/archive/validation_corrected_20260316.tsv	SNAPSHOT	archived			
reports/archive/validation_final_20260316.json	SNAPSHOT	archived			
reports/archive/validation_final_20260316.tsv	SNAPSHOT	archived			
reports/gap_fix_backlog.tsv	UNKNOWN	no writer found			
reports/instance_validation_failures.tsv	UNKNOWN	writer purity unestablished (validate_strict.py)	scripts/validate_strict.py	scripts/validate_strict.py	
reports/label_plausibility_2026-07-19.tsv	SNAPSHOT	dated filename			
reports/label_plausibility_after_fixes.tsv	UNKNOWN	no writer found			
reports/media_content_review_manifest.tsv	CURRENT_VIEW	build_media_content_review_manifest.py	scripts/build_media_content_review_manifest.py	scripts/build_media_content_review_manifest.py; scripts/propose_media_variant_links.py	yes
reports/media_variant_link_apply_plan.json	UNKNOWN	writer purity unestablished (apply_media_variant_links.py)	scripts/apply_media_variant_links.py	scripts/apply_media_variant_links.py	
reports/media_variant_link_apply_plan.tsv	UNKNOWN	writer purity unestablished (apply_media_variant_links.py)	scripts/apply_media_variant_links.py	scripts/apply_media_variant_links.py	
reports/media_variant_link_proposals.json	UNKNOWN	writer purity unestablished (propose_media_variant_links.py)	scripts/propose_media_variant_links.py	scripts/propose_media_variant_links.py	
reports/media_variant_link_proposals.tsv	UNKNOWN	writer purity unestablished (apply_media_variant_links.py)		scripts/apply_media_variant_links.py; scripts/propose_media_variant_links.py	
reports/media_variant_link_validation.tsv	UNKNOWN	writer purity unestablished (validate_media_variant_links.py)	scripts/validate_media_variant_links.py	scripts/validate_media_variant_links.py	
reports/media_variant_parent_group_proposals.json	UNKNOWN	writer purity unestablished (propose_media_variant_links.py)	scripts/propose_media_variant_links.py	scripts/propose_media_variant_links.py	
reports/media_variant_parent_group_proposals.tsv	UNKNOWN	writer purity unestablished (propose_media_variant_links.py)		scripts/propose_media_variant_links.py	
reports/pipeline_writers_audit.tsv	UNKNOWN	no writer found			
