chebi_id,label,formula,molecular_weight,charge
CHEBI:16000,ethanolamine,C2H7NO,61.084,0
CHEBI:16015,L-glutamic acid,C5H9NO4,147.13,0
CHEBI:16024,D-mannose,C6H12O6,180.156,0
CHEBI:16040,cytosine,C4H5N3O,111.104,0
CHEBI:16113,cholesterol,C27H46O,386.664,0
CHEBI:16119,shikimic acid,C7H10O5,174.152,0
CHEBI:16135,isobutyric acid,C4H8O2,88.106,0
CHEBI:16148,heptadecane,C17H36,240.475,0
CHEBI:16150,benzoate,C7H5O2,121.115,-1
CHEBI:16183,methane,CH4,16.043,0
CHEBI:16189,sulfate,O4S,96.063,-2
CHEBI:16196,oleic acid,C18H34O2,282.468,0
CHEBI:16199,urea,CH4N2O,60.056,0
CHEBI:16235,guanine,C5H5N5O,151.129,0
CHEBI:16236,ethanol,C2H6O,46.069,0
CHEBI:16238,FAD,C27H33N9O15P2,785.557,0
CHEBI:16261,chitosan,(C6H11NO4)n.H2O,179.172,0
CHEBI:16283,L-cystine,C6H12N2O4S2,240.306,0
CHEBI:16335,adenosine,C10H13N5O4,267.245,0
CHEBI:16349,L-citrulline,C6H13N3O3,175.188,0
CHEBI:16354,N-methylhydantoin,C4H6N2O2,114.104,0
CHEBI:16410,pyridoxamine,C8H12N2O2,168.196,0
CHEBI:16411,indole-3-acetic acid,C10H9NO2,175.187,0
CHEBI:16412,lipopolysaccharide,,,
CHEBI:16414,L-valine,C5H11NO2,117.148,0
CHEBI:16450,2'-deoxyuridine,C9H12N2O5,228.204,0
CHEBI:16454,pantothenate,C9H16NO5,218.229,-1
CHEBI:16467,L-arginine,C6H14N4O2,174.204,0
CHEBI:16482,naphthalene,C10H8,128.174,0
CHEBI:16494,lipoic acid,C8H14O2S2,206.332,0
CHEBI:16526,carbon dioxide,CO2,44.009,0
CHEBI:16602,trichloroethene,C2HCl3,131.389,0
CHEBI:16610,spermidine,C7H19N3,145.25,0
CHEBI:16634,raffinose,C18H32O16,504.438,0
CHEBI:16643,L-methionine,C5H11NO2S,149.215,0
CHEBI:16704,uridine,C9H12N2O6,244.203,0
CHEBI:16708,adenine,C5H5N5,135.13,0
CHEBI:16709,pyridoxine,C8H11NO3,169.18,0
CHEBI:16716,benzene,C6H6,78.114,0
CHEBI:16737,creatinine,C4H7N3O,113.12,0
CHEBI:16742,orotic acid,C5H4N2O4,156.097,0
CHEBI:16750,guanosine,C10H13N5O5,283.244,0
CHEBI:16810,2-oxoglutarate(2-),C5H4O5,144.082,-2
CHEBI:16811,methionine,C5H11NO2S,149.215,0
CHEBI:16813,galactitol,C6H14O6,182.172,0
CHEBI:16828,L-tryptophan,C11H12N2O2,204.229,0
CHEBI:16830,methylamine,CH5N,31.058,0
CHEBI:16856,glutathione,C10H17N3O6S,307.328,0
CHEBI:16857,L-threonine,C4H9NO3,119.12,0
CHEBI:16865,gamma-aminobutyric acid,C4H9NO2,103.121,0
CHEBI:16867,D-methionine,C5H11NO2S,149.215,0
CHEBI:16870,choline alfoscerate,C8H20NO6P,257.223,0
CHEBI:16899,D-mannitol,C6H14O6,182.172,0
CHEBI:16919,creatine,C4H9N3O2,131.135,0
CHEBI:16947,citrate(3-),C6H5O7,189.099,-3
CHEBI:16977,L-alanine,C3H7NO2,89.094,0
CHEBI:16988,D-ribose,C5H10O5,150.13,0
CHEBI:16991,deoxyribonucleic acid,,,
CHEBI:17015,riboflavin,C17H20N4O6,376.369,0
CHEBI:17029,chitin,(C8H13NO5)n.H2O,221.209,0
CHEBI:17045,dinitrogen oxide,N2O,44.013,0
CHEBI:17053,L-aspartic acid,C4H7NO4,133.103,0
CHEBI:17057,cellobiose,C12H22O11,342.297,0
CHEBI:17076,streptomycin,C21H39N7O12,581.58,0
CHEBI:17097,biphenyl,C12H10,154.212,0
CHEBI:17108,D-arabinose,C5H10O5,150.13,0
CHEBI:17115,L-serine,C3H7NO3,105.093,0
CHEBI:17126,carnitine,C7H15NO3,161.201,0
CHEBI:17148,putrescine,C4H12N2,88.154,0
CHEBI:17151,xylitol,C5H12O5,152.146,0
CHEBI:17154,nicotinamide,C6H6N2O,122.127,0
CHEBI:17189,"2,5-dihydroxybenzoic acid",C7H6O4,154.121,0
CHEBI:17191,L-isoleucine,C6H13NO2,131.175,0
CHEBI:17196,L-asparagine,C4H8N2O3,132.119,0
CHEBI:17201,glycylglycine,C4H8N2O3,132.119,0
CHEBI:17203,L-proline,C5H9NO2,115.132,0
CHEBI:17234,glucose,C6H12O6,180.156,0
CHEBI:17245,carbon monoxide,CO,28.01,0
CHEBI:17268,myo-inositol,C6H12O6,180.156,0
CHEBI:17295,L-phenylalanine,C9H11NO2,165.192,0
CHEBI:17300,tetrachloroethene,C2Cl4,165.834,0
CHEBI:17306,maltose,C12H22O11,342.297,0
CHEBI:17309,pectin,,,
CHEBI:17334,penicillin,C9H11N2O4SR,243.26,0
CHEBI:17368,hypoxanthine,C5H4N4O,136.114,0
CHEBI:17376,cystine,C6H12N2O4S2,240.306,0
CHEBI:17418,valeric acid,C5H10O2,102.133,0
CHEBI:17439,cyanocob(III)alamin,C63H88CoN14O14P,1355.388,0
CHEBI:17521,(-)-quinic acid,C7H12O6,192.167,0
CHEBI:17533,N-acetyl-L-glutamic acid,C7H11NO5,189.167,0
CHEBI:17561,L-cysteine,C3H7NO2S,121.161,0
CHEBI:17562,cytidine,C9H13N3O5,243.219,0
CHEBI:17568,uracil,C4H4N2O2,112.088,0
CHEBI:17578,toluene,C7H8,92.141,0
CHEBI:17596,inosine,C10H12N4O5,268.229,0
CHEBI:17597,4-hydroxybenzaldehyde,C7H6O2,122.123,0
CHEBI:17632,nitrate,NO3,62.004,-1
CHEBI:17634,D-glucose,C6H12O6,180.156,0
CHEBI:17642,pentachlorophenol,C6HCl5O,266.338,0
CHEBI:17698,chloramphenicol,C11H12Cl2N2O5,323.132,0
CHEBI:17712,9H-xanthine,C5H4N4O2,152.113,0
CHEBI:17716,lactose,C12H22O11,342.297,0
CHEBI:17748,thymidine,C10H14N2O5,242.231,0
CHEBI:17750,glycine betaine,C5H11NO2,117.148,0
CHEBI:17754,glycerol,C3H8O3,92.094,0
CHEBI:17790,methanol,CH4O,32.042,0
CHEBI:17821,thymine,C5H6N2O2,126.115,0
CHEBI:17822,serine,C3H7NO3,105.093,0
CHEBI:17824,propan-2-ol,C3H8O,60.096,0
CHEBI:17833,gentamycin,,,
CHEBI:17836,4-aminobenzoate,C7H6NO2,136.13,-1
CHEBI:17879,4-hydroxybenzoate,C7H5O3,137.114,-1
CHEBI:17883,hydrogen chloride,HCl,36.461,0
CHEBI:17895,L-tyrosine,C9H11NO3,181.191,0
CHEBI:17905,coenzyme M,C2H6O3S2,142.201,0
CHEBI:17909,polysulfur,(S)n.S2,96.201,0
CHEBI:17924,D-glucitol,C6H14O6,182.172,0
CHEBI:17925,alpha-D-glucose,C6H12O6,180.156,0
CHEBI:17987,benzyl alcohol,C7H8O,108.14,0
CHEBI:17992,sucrose,C12H22O11,342.297,0
CHEBI:17997,dinitrogen,N2,28.014,0
CHEBI:18012,fumaric acid,C4H4O4,116.072,0
CHEBI:18019,L-lysine,C6H14N2O2,146.19,0
CHEBI:18024,D-galacturonic acid,C6H10O7,194.14,0
CHEBI:18026,"2,3-dihydroxybenzoic acid",C7H6O4,154.121,0
CHEBI:18050,L-glutamine,C5H10N2O3,146.146,0
CHEBI:18067,phylloquinone,C31H46O2,450.707,0
CHEBI:18095,trans-4-hydroxy-L-proline,C5H9NO3,131.131,0
CHEBI:18101,4-hydroxyphenylacetic acid,C8H8O3,152.149,0
CHEBI:18107,xanthosine,C10H12N4O6,284.228,0
CHEBI:18135,catechol,C6H6O2,110.112,0
CHEBI:18139,trimethylamine,C3H9N,59.112,0
CHEBI:18167,alpha-maltose,C12H22O11,342.297,0
CHEBI:18186,tyrosine,C9H11NO3,181.191,0
CHEBI:18222,xylose,C5H10O5,150.13,0
CHEBI:18237,glutamic acid,C5H9NO4,147.13,0
CHEBI:18240,4-hydroxy-L-proline,C5H9NO3,131.131,0
CHEBI:18246,(1->4)-beta-D-glucan,(C6H10O5)n.H2O,180.156,0
CHEBI:18248,iron atom,Fe,55.845,0
CHEBI:18276,dihydrogen,H2,2.016,0
CHEBI:18287,L-fucose,C6H12O5,164.156,0
CHEBI:18290,thiamine(1+) diphosphate chloride,C12H19N4O7P2S.Cl,460.773,0
CHEBI:18300,maleic acid,C4H4O4,116.072,0
CHEBI:18320,"1,4-dithiothreitol",C4H10O2S2,154.256,0
CHEBI:18385,thiamine(1+),C12H17N4OS,265.362,1
CHEBI:18403,L-arabinitol,C5H12O5,152.146,0
CHEBI:18405,pyridoxal 5'-phosphate,C8H10NO6P,247.143,0
CHEBI:22599,arabinose,C5H10O5,150.13,0
CHEBI:22651,ascorbate,,,
CHEBI:22652,ascorbic acid,,,
CHEBI:22653,asparagine,C4H8N2O3,132.119,0
CHEBI:22660,aspartic acid,C4H7NO4,133.103,0
CHEBI:22868,bile salt,,,
CHEBI:23414,copper(II) sulfate,Cu.O4S,159.609,0
CHEBI:23673,"2,6-diaminopimelic acid",C7H14N2O4,190.199,0
CHEBI:24040,flavin adenine dinucleotide,,,
CHEBI:24266,gluconic acid,C6H11O7,195.148,0
CHEBI:24536,hexachlorocyclohexane,C6H6Cl6,290.832,0
CHEBI:24848,inositol,C6H12O6,180.156,0
CHEBI:24996,lactate,C3H5O3,89.07,-1
CHEBI:25094,lysine,C6H14N2O2,146.19,0
CHEBI:25115,malate,,,
CHEBI:25140,maltodextrin,,,
CHEBI:25351,mevalonic acid,C6H12O4,148.158,0
CHEBI:25548,nitrilotriacetate(3-),C6H6NO6,188.115,-3
CHEBI:25979,phenylacetonitrile,C8H7N,117.151,0
CHEBI:26271,proline,C5H9NO2,115.132,0
CHEBI:26490,quinate,,,
CHEBI:26493,quinic acid,,,
CHEBI:26546,rhamnose,C6H12O5,164.157,0
CHEBI:26642,selenous acid,H2O3Se,128.973,0
CHEBI:26709,sodium hydrogensulfite,HO3S.Na,104.062,0
CHEBI:26710,sodium chloride,Cl.Na,58.443,0
CHEBI:26806,succinate,,,
CHEBI:26833,sulfur atom,S,32.067,0
CHEBI:26836,sulfuric acid,H2O4S,98.079,0
CHEBI:26977,thiosulfate,,,
CHEBI:26986,threonine,C4H9NO3,119.119,0
CHEBI:27082,trehalose,C12H22O11,342.297,0
CHEBI:27226,uric acid,C5H4N4O3,168.11,0
CHEBI:27374,1L-chiro-inositol,C6H12O6,180.156,0
CHEBI:27418,"1,4-naphthoquinone",C10H6O2,158.156,0
CHEBI:27470,folic acid,C19H19N7O6,441.404,0
CHEBI:27570,histidine,C6H9N3O2,155.157,0
CHEBI:27592,ectoine,C6H10N2O2,142.158,0
CHEBI:27641,cycloheximide,C15H23NO4,281.352,0
CHEBI:27897,tryptophan,C11H12N2O2,204.229,0
CHEBI:27902,tetracycline,C22H24N2O8,444.44,0
CHEBI:27941,pullulan,(C37H62O30)n,,
CHEBI:28001,vancomycin,C66H75Cl2N9O24,1449.271,0
CHEBI:28017,starch,,,
CHEBI:28053,melibiose,C12H22O11,342.297,0
CHEBI:28077,rifampicin,C43H58N4O12,822.953,0
CHEBI:28145,dibenzofuran,C12H8O,168.195,0
CHEBI:28260,galactose,C6H12O6,180.156,0
CHEBI:28262,dimethyl sulfoxide,C2H6OS,78.136,0
CHEBI:28484,isovaleric acid,C5H10O2,102.133,0
CHEBI:28488,m-xylene,C8H10,106.168,0
CHEBI:28591,guaiacol,C7H8O2,124.139,0
CHEBI:28621,triethanolamine,C6H15NO3,149.19,0
CHEBI:28631,3-phenylpropionic acid,C9H10O2,150.177,0
CHEBI:28645,beta-D-fructofuranose,C6H12O6,180.156,0
CHEBI:28669,bacitracin,C63H98N14O14S,,
CHEBI:28675,dextrin,,,
CHEBI:28741,sodium fluoride,F.Na,41.988,0
CHEBI:28757,fructose,,,
CHEBI:28842,octadecanoic acid,C18H36O2,284.484,0
CHEBI:28869,menadione,C11H8O2,172.183,0
CHEBI:28911,cob(III)alamin,C62H88CoN13O14P,1329.37,1
CHEBI:28971,ampicillin,C16H19N3O4S,349.412,0
CHEBI:28997,2'-deoxyinosine,C10H12N4O4,252.23,0
CHEBI:29016,arginine,C6H14N4O2,174.204,0
CHEBI:29032,(R)-pantothenate,C9H16NO5,218.229,-1
CHEBI:29073,L-ascorbic acid,C6H8O6,176.124,0
CHEBI:29125,arsenate(3-),AsO4,138.918,-3
CHEBI:29377,sodium carbonate,CO3.2Na,105.988,0
CHEBI:29805,glycolate,C2H3O3,75.043,-1
CHEBI:29806,fumarate(2-),C4H2O4,114.056,-2
CHEBI:29864,mannitol,C6H14O6,182.172,0
CHEBI:29958,L-aspartic acid residue,C4H5NO3,115.088,0
CHEBI:29991,L-aspartate(1-),C4H6NO4,132.095,-1
CHEBI:29994,D-aspartate(2-),C4H5NO4,131.087,-2
CHEBI:29995,aspartate(2-),C4H5NO4,131.087,-2
CHEBI:30065,thioglycolic acid,C2H4O2S,92.119,0
CHEBI:30066,thioglycolate(1-),C2H3O2S,91.111,-1
CHEBI:30089,acetate,C2H3O2,59.044,-1
CHEBI:30114,aluminium trichloride,AlCl3,133.341,0
CHEBI:30115,aluminium trichloride hexahydrate,AlCl3.6H2O,241.431,0
CHEBI:30314,(R)-lipoic acid,C8H14O2S2,206.332,0
CHEBI:30411,cobalamin,,,
CHEBI:30452,tellurium atom,Te,127.6,0
CHEBI:30563,silicon dioxide,O2Si,60.084,0
CHEBI:30612,D-glucarate(2-),C6H8O8,208.122,-2
CHEBI:30621,diarsenic trioxide,As4O6,395.682,0
CHEBI:30627,molybdenum trioxide,MoO3,143.937,0
CHEBI:30729,ethylenediaminetetraacetatoferrate(1-),C10H12N2O8.Fe,344.057,-1
CHEBI:30742,ethylene glycol,C2H6O2,62.068,0
CHEBI:30745,phenylacetic acid,C8H8O2,136.15,0
CHEBI:30746,benzoic acid,C7H6O2,122.123,0
CHEBI:30751,formic acid,CH2O2,46.025,0
CHEBI:30753,4-aminobenzoic acid,C7H7NO2,137.138,0
CHEBI:30763,4-hydroxybenzoic acid,C7H6O3,138.122,0
CHEBI:30764,3-hydroxybenzoic acid,C7H6O3,138.122,0
CHEBI:30768,propionic acid,C3H6O2,74.079,0
CHEBI:30769,citric acid,C6H8O7,192.123,0
CHEBI:30772,butyric acid,C4H8O2,88.106,0
CHEBI:30776,hexanoic acid,C6H12O2,116.16,0
CHEBI:30808,iron trichloride,Cl3Fe,162.204,0
CHEBI:30812,iron dichloride,Cl2Fe,126.751,0
CHEBI:30845,2-furoic acid,C5H4O3,112.084,0
CHEBI:30849,L-arabinose,C5H10O5,150.13,0
CHEBI:30911,glucitol,C6H14O6,182.172,0
CHEBI:30915,2-oxoglutaric acid,C5H6O5,146.098,0
CHEBI:30951,potassium thiocyanate,CNS.K,97.183,0
CHEBI:30961,pyridoxine hydrochloride,C8H11NO3.HCl,205.641,0
CHEBI:31206,ammonium chloride,Cl.H4N,53.492,0
CHEBI:31225,antipyrine,C11H12N2O,188.23,0
CHEBI:31235,Arginine hydrochloride,C6H14N4O2.HCl,210.665,0
CHEBI:31340,Calcium folinate,C20H21N7O7.Ca,511.508,0
CHEBI:31345,Calcium pantothenate,2C9H16NO5.Ca,476.536,0
CHEBI:31346,calcium sulfate,Ca.O4S,136.141,0
CHEBI:31404,Citric acid monohydrate,C6H8O7.H2O,210.138,0
CHEBI:31440,copper(II) sulfate pentahydrate,Cu.5H2O.O4S,249.684,0
CHEBI:31604,ferric ammonium citrate,,,
CHEBI:31695,indigo carmine,C16H8N2O8S2.2Na,466.36,0
CHEBI:31795,magnesium sulfate heptahydrate,7H2O.Mg.O4S,246.473,0
CHEBI:31991,phenol red,C19H14O5S,354.383,0
CHEBI:32029,potassium acetate,C2H3O2.K,98.142,0
CHEBI:32030,potassium bromide,Br.K,119.002,0
CHEBI:32032,Potassium gluconate,C6H11O7.K,234.245,0
CHEBI:32035,potassium hydroxide,HO.K,56.105,0
CHEBI:32036,potassium sulfate,2K.O4S,174.259,0
CHEBI:32138,sodium acetate trihydrate,C2H3O2.3H2O.Na,136.079,0
CHEBI:32139,sodium hydrogencarbonate,CHO3.Na,84.006,0
CHEBI:32142,sodium citrate dihydrate,C6H5O7.2H2O.3Na,294.099,0
CHEBI:32145,sodium hydroxide,HO.Na,39.997,0
CHEBI:32149,sodium sulfate,2Na.O4S,142.043,0
CHEBI:32150,sodium thiosulfate pentahydrate,5H2O.2Na.O3S2,248.186,0
CHEBI:32312,zinc sulfate heptahydrate,7H2O.O4S.Zn,287.558,0
CHEBI:32583,calcium sulfate dihydrate,Ca.2H2O.O4S,172.171,0
CHEBI:32586,sodium sulfate decahydrate,10H2O.2Na.O4S,322.193,0
CHEBI:32588,potassium chloride,Cl.K,74.551,0
CHEBI:32596,calcium hydrogenphosphate,Ca.HO4P,136.056,0
CHEBI:32599,magnesium sulfate,Mg.O4S,120.368,0
CHEBI:32696,argininium(1+),C6H15N4O2,175.212,1
CHEBI:32816,pyruvic acid,C3H4O3,88.062,0
CHEBI:32954,sodium acetate,C2H3O2.Na,82.034,0
CHEBI:33083,fluoranthene,C16H10,202.256,0
CHEBI:33118,boric acid,H3BO3,61.833,0
CHEBI:33167,sodium iodide,I.Na,149.894,0
CHEBI:33403,elemental sulfur,,,
CHEBI:33942,ribose,C5H10O5,150.13,0
CHEBI:33984,fucose,,,
CHEBI:34535,ampicillin sodium,C16H18N3O4S.Na,371.394,0
CHEBI:34545,Azimilide,C23H28ClN5O3,457.962,0
CHEBI:34653,Congo Red,C32H22N6O6S2.2Na,696.678,0
CHEBI:34683,disodium hydrogenphosphate,HO4P.2Na,141.958,0
CHEBI:34887,nickel dichloride,Cl2Ni,129.599,0
CHEBI:35176,zinc sulfate,O4S.Zn,161.453,0
CHEBI:35195,surfactant,,,
CHEBI:35366,fatty acid,CHO2R,45.017,0
CHEBI:35458,cerium trichloride,CeCl3,246.475,0
CHEBI:35607,trisodium vanadate,3Na.O4V,183.91,0
CHEBI:35696,cobalt dichloride,2Cl.Co,129.839,0
CHEBI:35697,trans-cinnamic acid,C9H8O2,148.161,0
CHEBI:35704,N(2)-acetyl-L-lysine,C8H16N2O3,188.227,0
CHEBI:35899,crotonate,C4H5O2,85.082,-1
CHEBI:36018,"1,1,2-trichloroethane",C2H3Cl3,133.405,0
CHEBI:36218,beta-lactose,C12H22O11,342.297,0
CHEBI:36272,tungstic acid,H2O4W,249.852,0
CHEBI:36336,naphthalenesulfonic acid,,,
CHEBI:36383,strontium dichloride,2Cl.Sr,158.526,0
CHEBI:36385,strontium dichloride hexahydrate,Cl2Sr.6H2O,266.616,0
CHEBI:36702,2-acyl-1-alkyl-sn-glycero-3-phosphocholine,C9H18NO7PR2,283.216,0
CHEBI:36751,pyrrole-2-carboxylic acid,C5H5NO2,111.1,0
CHEBI:37070,2-methylbutyric acid,C5H10O2,102.133,0
CHEBI:37166,xylan,,,
CHEBI:37585,sodium dihydrogenphosphate,H2O4P.Na,119.976,0
CHEBI:38267,boronic acid,H3BO2,45.834,0
CHEBI:38892,disodium tetraborate,H4B4O9.2Na,237.251,0
CHEBI:39005,2-(N-morpholino)ethanesulfonic acid,C6H13NO4S,195.24,0
CHEBI:39010,MES,,,
CHEBI:39033,PIPES,,,
CHEBI:39035,TES,,,
CHEBI:39054,NTA,,,
CHEBI:39060,N-(2-acetamido)-2-aminoethanesulfonic acid,C4H10N2O4S,182.201,0
CHEBI:39061,ACES,,,
CHEBI:39063,N-tris(hydroxymethyl)methylglycine,C6H13NO5,179.172,0
CHEBI:39065,bicine,,,
CHEBI:39074,MOPS,,,
CHEBI:40009,D-cycloserine,C3H6N2O2,102.093,0
CHEBI:40666,"1,6-anhydro-N-acetyl-beta-muramic acid",C11H17NO7,275.257,0
CHEBI:40957,"N,N-bis(2-hydroxyethyl)glycine",C6H13NO4,163.173,0
CHEBI:41131,crotonic acid,C4H6O2,86.09,0
CHEBI:41218,mercaptoethanol,C2H6OS,78.136,0
CHEBI:41250,bis-tris,C8H19NO5,209.242,0
CHEBI:41688,crystal violet,C25H30N3.Cl,407.989,0
CHEBI:41808,decane,C10H22,142.286,0
CHEBI:41981,dideuterium oxide,D2O,20.027,0
CHEBI:42106,"L-1,4-dithiothreitol",C4H10O2S2,154.256,0
CHEBI:42160,dithionite(2-),O4S2,128.13,-2
CHEBI:42334,2-[4-(2-hydroxyethyl)piperazin-1-yl]ethanesulfonic acid,C8H18N2O4S,238.309,0
CHEBI:43796,(S)-lipoic acid,C8H14O2S2,206.332,0
CHEBI:44115,3-(N-morpholino)propanesulfonic acid,C7H15NO4S,209.267,0
CHEBI:44557,nitrilotriacetic acid,C6H9NO6,191.139,0
CHEBI:45165,pyromellitic acid,C10H6O8,254.15,0
CHEBI:45296,hexadecane,C16H34,226.448,0
CHEBI:45630,4-oxopentanoic acid,C5H8O3,116.116,0
CHEBI:45924,trimethoprim,C14H18N4O3,290.323,0
CHEBI:45931,thiamine(1+) diphosphate(1-),C12H18N4O7P2S,424.312,0
CHEBI:45996,ribothymidine,C10H14N2O6,258.23,0
CHEBI:46020,tetramethylammonium,C4H12N,74.147,1
CHEBI:46345,5-fluorouracil,C4H3FN2O2,130.078,0
CHEBI:46502,tungstate,O4W,247.836,-2
CHEBI:46756,HEPES,,,
CHEBI:46760,tricine,,,
CHEBI:47869,thioglycolate(2-),C2H2O2S,90.103,-2
CHEBI:47965,N-acetylmuramic acid,C11H19NO8,293.271,0
CHEBI:47966,aldehydo-N-acetylmuramic acid,C11H19NO8,293.272,0
CHEBI:48607,lithium chloride,Cl.Li,42.394,0
CHEBI:48843,disodium selenite,2Na.O3Se,172.937,0
CHEBI:48923,erythromycin,,,
CHEBI:49105,thiamine hydrochloride,C12H17N4OS.Cl.HCl,337.276,0
CHEBI:49474,argon(0),Ar,39.948,0
CHEBI:49553,copper(II) chloride,Cl2Cu,134.452,0
CHEBI:49976,zinc dichloride,2Cl.Zn,136.296,0
CHEBI:50144,sodium pyruvate,C3H3O3.Na,110.044,0
CHEBI:50385,hemin,C34H32ClFeN4O4,651.952,0
CHEBI:51765,benzylpenicillin sodium,C16H17N2O4S.Na,356.379,0
CHEBI:52071,dextran,,,
CHEBI:53001,nickel sulfate,Ni.O4S,154.756,0
CHEBI:53258,sodium citrate,C6H5O7.3Na,258.069,0
CHEBI:53311,sodium alginate,(C6H7O6)n.H2NaO,216.121,0
CHEBI:53389,poly(3-hydroxybutyrate),(C4H6O2)n,86.09,0
CHEBI:53423,polysorbate 40,(C2H4O)w.(C2H4O)x.(C2H4O)y.(C2H4O)z.C22H42O6,578.784,0
CHEBI:53424,polysorbate 20,(C2H4O)w.(C2H4O)x.(C2H4O)y.(C2H4O)z.C18H34O6,522.676,0
CHEBI:53425,polysorbate 60,(C2H4O)w.(C2H4O)x.(C2H4O)y.(C2H4O)z.C24H46O6,606.838,0
CHEBI:53426,polysorbate 80,(C2H4O)w.(C2H4O)x.(C2H4O)y.(C2H4O)z.C24H44O6,604.822,0
CHEBI:53437,nickel sulfate hexahydrate,6H2O.Ni.O4S,262.846,0
CHEBI:53438,iron(3+) sulfate,2Fe.3O4S,399.879,0
CHEBI:53470,cobalt(2+) sulfate,Co.O4S,154.996,0
CHEBI:53471,chromium(III) sulfate,2Cr.3O4S,392.181,0
CHEBI:53472,copper(I) chloride,ClCu,98.999,0
CHEBI:53503,cobalt chloride hexahydrate,2Cl.Co.6H2O,237.929,0
CHEBI:53504,nickel sulfate heptahydrate,7H2O.Ni.O4S,280.861,0
CHEBI:53542,nickel chloride hexahydrate,2Cl.6H2O.Ni,237.689,0
CHEBI:53633,L-lysine hydrochloride,C6H14N2O2.HCl,182.651,0
CHEBI:53696,disodium L-tyrosinate,C9H9NO3.2Na,225.155,0
CHEBI:57912,L-tryptophan zwitterion,C11H12N2O2,204.229,0
CHEBI:59337,methylamine hydrochloride,CH6N.Cl,67.519,0
CHEBI:59640,N-acetylglucosamine,,,
CHEBI:60720,sodium silicate,2Na.O3Si,122.063,0
